Tiempo_s,Distancia_m,Velocidad_mps,Aceleracion_mps2,PosX_m,PosY_m,PosZ_m,Metodo,Escenario,RunID
0,5.0693,2.2459,18.5898,-1.0733,-0.3167,29.3709,M4,E2,5
0.1515,5.0101,1.2492,6.5793,-1.0722,-0.3167,29.2194,M4,E2,5
0.2915,5.0883,1.0498,1.4243,-1.0711,-0.3167,29.0794,M4,E2,5
0.436,5.0929,1.01,0.2758,-1.0699,-0.3167,28.9349,M4,E2,5
0.584,5.0963,1.002,0.0539,-1.0688,-0.3167,28.7869,M4,E2,5
0.7293,5.0937,1.0004,0.011,-1.0676,-0.3167,28.6415,M4,E2,5
0.8754,5.0944,1.0001,0.0022,-1.0665,-0.3167,28.4955,M4,E2,5
1.0296,5.1024,1,0.0004,-1.0653,-0.3167,28.3413,M4,E2,5
1.1767,5.0955,1,0.0001,-1.0641,-0.3167,28.1942,M4,E2,5
1.316,5.0877,1,0,-1.063,-0.3167,28.0549,M4,E2,5
1.444,5.0766,1,0.0001,-1.062,-0.3167,27.9269,M4,E2,5
1.5715,5.0761,1,0,-1.061,-0.3167,27.7994,M4,E2,5
1.7108,5.0878,1,0,-1.06,-0.3167,27.6601,M4,E2,5
1.8333,5.0711,1,0,-1.059,-0.3167,27.5376,M4,E2,5
1.9768,5.092,1,0,-1.0579,-0.3167,27.3941,M4,E2,5
2.1028,5.0748,1,0,-1.0569,-0.3167,27.2681,M4,E2,5
2.2489,5.0951,1,0,-1.0557,-0.3167,27.122,M4,E2,5
2.3872,5.0877,1,0,-1.0547,-0.3167,26.9838,M4,E2,5
2.5235,5.0865,1,0,-1.0536,-0.3167,26.8474,M4,E2,5
2.66,5.0876,1,0,-1.0525,-0.3167,26.7109,M4,E2,5
2.7954,5.0874,1,0,-1.0515,-0.3167,26.5756,M4,E2,5
2.9452,5.103,1,0,-1.0503,-0.3167,26.4257,M4,E2,5
3.072,5.0816,1,0,-1.0493,-0.3167,26.299,M4,E2,5
3.2154,5.0994,1,0,-1.0482,-0.3167,26.1555,M4,E2,5
3.3472,5.0894,1,0,-1.0472,-0.3167,26.0238,M4,E2,5
3.4942,5.106,1,0,-1.046,-0.3167,25.8768,M4,E2,5
3.6272,5.0938,1,0,-1.045,-0.3167,25.7438,M4,E2,5
3.7679,5.1031,1,0,-1.0439,-0.3167,25.603,M4,E2,5
3.8928,5.0889,1,0,-1.0429,-0.3167,25.4782,M4,E2,5
4.03,5.1025,1,0,-1.0418,-0.3167,25.341,M4,E2,5
4.1667,5.1034,1,0,-1.0407,-0.3167,25.2043,M4,E2,5
4.3165,5.1177,1,0.0001,-1.0396,-0.3167,25.0545,M4,E2,5
4.453,5.1059,1,0.0001,-1.0385,-0.3167,24.918,M4,E2,5
4.595,5.1125,1,0,-1.0374,-0.3167,24.776,M4,E2,5
4.7377,5.1143,1,0.0001,-1.0363,-0.3167,24.6333,M4,E2,5
4.866,5.101,1,0,-1.0353,-0.3167,24.505,M4,E2,5
5.004,5.1114,1,0,-1.0342,-0.3167,24.367,M4,E2,5
5.1341,5.1044,1,0.0001,-1.0332,-0.3167,24.2369,M4,E2,5
5.2733,5.1139,1,0,-1.0321,-0.3167,24.0977,M4,E2,5
5.4001,5.1023,1,0,-1.0311,-0.3167,23.9709,M4,E2,5
5.5432,5.0957,1,0,-1.03,-0.3167,23.8278,M4,E2,5
5.6819,5.0457,1,0,-1.0289,-0.3167,23.6891,M4,E2,5
5.8146,4.9955,1,0,-1.0278,-0.3167,23.5565,M4,E2,5
5.9542,4.9596,1,0,-1.0268,-0.3167,23.4168,M4,E2,5
6.0877,4.9089,1,0,-1.0257,-0.3167,23.2833,M4,E2,5
6.216,4.8608,1,0,-1.0247,-0.3167,23.1551,M4,E2,5
6.377,4.8509,1,0,-1.0234,-0.3167,22.9941,M4,E2,5
6.514,4.7759,1,0,-1.0224,-0.3167,22.8571,M4,E2,5
6.626,4.7076,1,0.0001,-1.0215,-0.3167,22.7451,M4,E2,5
6.7475,4.6802,1,0,-1.0205,-0.3167,22.6236,M4,E2,5
6.9038,4.674,1,0,-1.0193,-0.3167,22.4673,M4,E2,5
7.0271,4.5915,1,0,-1.0184,-0.3167,22.344,M4,E2,5
7.162,4.5621,1,0,-1.0173,-0.3167,22.2091,M4,E2,5
7.2956,4.5165,1,0,-1.0163,-0.3167,22.0755,M4,E2,5
7.4494,4.4922,1,0,-1.0151,-0.3167,21.9217,M4,E2,5
7.6259,4.4632,1,0,-1.0137,-0.3167,21.7452,M4,E2,5
7.7708,4.3751,1,0,-1.0125,-0.3167,21.6003,M4,E2,5
7.8982,4.3108,1,0,-1.0115,-0.3167,21.4729,M4,E2,5
8.0369,4.2799,1,0,-1.0105,-0.3167,21.3342,M4,E2,5
8.1871,4.2453,1,0,-1.0093,-0.3167,21.184,M4,E2,5
8.3377,4.1965,1,0,-1.0081,-0.3167,21.0334,M4,E2,5
8.4784,4.1377,1,0,-1.007,-0.3167,20.8927,M4,E2,5
8.6307,4.1027,1,0,-1.0058,-0.3167,20.7404,M4,E2,5
8.7985,4.0675,1,0,-1.0045,-0.3167,20.5726,M4,E2,5
8.9494,3.9964,1,0,-1.0033,-0.3167,20.4217,M4,E2,5
9.1162,3.9623,1,0,-1.002,-0.3167,20.2549,M4,E2,5
9.2579,3.8837,1,0,-1.0009,-0.3167,20.1133,M4,E2,5
9.4137,3.8509,1,0,-0.9997,-0.3167,19.9574,M4,E2,5
9.5428,3.7745,1,0,-0.9987,-0.3167,19.8283,M4,E2,5
9.7046,3.7634,1,0,-0.9974,-0.3167,19.6666,M4,E2,5
9.8469,3.6921,1,0,-0.9963,-0.3167,19.5243,M4,E2,5
9.9997,3.6556,1,0,-0.9951,-0.3167,19.3715,M4,E2,5
10.1579,3.6109,1,0,-0.9939,-0.3167,19.2133,M4,E2,5
10.3021,3.4925,0.686,2.177,-0.9932,-0.3167,19.1257,M4,E2,5
10.4586,3.399,0.6232,0.4014,-0.9924,-0.3167,19.0306,M4,E2,5
10.5877,3.2746,0.6106,0.0973,-0.9918,-0.3167,18.9522,M4,E2,5
10.7491,3.2036,0.6081,0.0156,-0.991,-0.3167,18.8541,M4,E2,5
10.88,3.0744,0.6076,0.0038,-0.9904,-0.3167,18.7747,M4,E2,5
11.0412,3.0014,0.6075,0.0006,-0.9897,-0.3167,18.6767,M4,E2,5
11.1812,2.8785,0.6075,0.0002,-0.989,-0.3167,18.5916,M4,E2,5
11.3325,2.7889,0.6075,0.0001,-0.9883,-0.3167,18.4997,M4,E2,5
11.4946,2.6915,0.6075,0.0003,-0.9875,-0.3167,18.4013,M4,E2,5
11.6276,2.565,0.6075,0.0005,-0.9868,-0.3167,18.3204,M4,E2,5
11.783,2.4873,0.6075,0.0006,-0.986,-0.3167,18.2261,M4,E2,5
11.9304,2.3781,0.6075,0.0014,-0.9853,-0.3167,18.1365,M4,E2,5
12.0864,2.284,0.6075,0.0014,-0.9844,-0.3167,18.0418,M4,E2,5
12.2295,2.1731,0.6075,0.0029,-0.9835,-0.3167,17.9548,M4,E2,5
12.3858,2.0855,0.6075,0.0036,-0.9825,-0.3167,17.8599,M4,E2,5
12.5327,1.9779,0.6075,0.0066,-0.9814,-0.3167,17.7707,M4,E2,5
12.6773,1.8812,0.6075,0.0081,-0.9801,-0.3167,17.6828,M4,E2,5
12.8339,1.7946,0.6075,0.0125,-0.9784,-0.3167,17.5877,M4,E2,5
12.9735,1.6864,0.6075,0.0185,-0.9765,-0.3167,17.5029,M4,E2,5
13.1318,1.6088,0.6075,0.02,-0.9738,-0.3167,17.4068,M4,E2,5
13.2936,1.5134,0.6075,0.0317,-0.9701,-0.3167,17.3086,M4,E2,5
13.4677,1.4226,0.6075,0.0301,-0.9652,-0.3167,17.2029,M4,E2,5
13.6302,1.3155,0.6075,0.047,-0.9594,-0.3167,17.1044,M4,E2,5
13.79,1.2233,0.6075,0.0596,-0.952,-0.3167,17.0076,M4,E2,5
13.9445,1.1357,0.6075,0.0901,-0.9426,-0.3167,16.9142,M4,E2,5
14.1122,1.0475,0.4809,0.8032,-0.9269,-0.3167,16.8404,M4,E2,5
14.2855,0.9875,0.456,0.2138,-0.9072,-0.3167,16.7649,M4,E2,5
14.4459,0.9886,0.451,0.1611,-0.8853,-0.3167,16.6961,M4,E2,5
14.6161,0.9844,0.45,0.1729,-0.8571,-0.3167,16.6249,M4,E2,5
14.762,1.0071,0.45,0.0086,-0.8337,-0.3167,16.5636,M4,E2,5
14.8999,0.9741,0.4495,0.302,-0.8185,-0.3167,16.5034,M4,E2,5
15.053,0.9659,0.4497,0.1904,-0.7948,-0.3167,16.4387,M4,E2,5
15.2244,0.962,0.4495,0.2383,-0.7613,-0.3167,16.3692,M4,E2,5
15.3859,0.9643,0.4499,0.0357,-0.7302,-0.3167,16.3035,M4,E2,5
15.5494,0.9097,0.4499,0.0673,-0.697,-0.3167,16.238,M4,E2,5
15.7107,0.9462,0.45,0.072,-0.6624,-0.3167,16.1741,M4,E2,5
15.88,0.9964,0.45,0.0196,-0.6272,-0.3167,16.1065,M4,E2,5
16.0384,1.0586,0.4499,0.1067,-0.5972,-0.3167,16.0419,M4,E2,5
16.1933,1.1244,0.4498,0.1735,-0.572,-0.3167,15.9769,M4,E2,5
16.3579,1.1926,0.4497,0.1873,-0.5502,-0.3167,15.9061,M4,E2,5
16.5281,1.2697,0.4497,0.1707,-0.5323,-0.3167,15.8316,M4,E2,5
16.6988,1.3552,0.4498,0.1467,-0.5185,-0.3167,15.7561,M4,E2,5
16.8455,1.4518,0.4498,0.1475,-0.5095,-0.3167,15.6906,M4,E2,5
16.9966,1.515,0.5756,0.8827,-0.5055,-0.3167,15.5989,M4,E2,5
17.1574,1.5803,0.6011,0.183,-0.5026,-0.3167,15.5013,M4,E2,5
17.3244,1.6542,0.6062,0.0487,-0.5004,-0.3167,15.3999,M4,E2,5
17.5048,1.7309,0.6072,0.0235,-0.4986,-0.3167,15.2903,M4,E2,5
17.6641,1.7125,0.6074,0.0213,-0.4975,-0.3167,15.1935,M4,E2,5
17.8377,1.6618,0.6075,0.0157,-0.4968,-0.3167,15.0881,M4,E2,5
18.018,1.6016,0.6075,0.0285,-0.4971,-0.3167,14.9785,M4,E2,5
18.1837,1.5273,0.6075,0.0045,-0.4973,-0.3167,14.8779,M4,E2,5
18.3504,1.4674,0.6075,0.0013,-0.4974,-0.3167,14.7766,M4,E2,5
18.5145,1.4054,0.6075,0.0035,-0.4974,-0.3167,14.6769,M4,E2,5
18.6989,1.3575,0.6075,0.0033,-0.4973,-0.3167,14.5649,M4,E2,5
18.8649,1.281,0.6075,0.0041,-0.4971,-0.3167,14.464,M4,E2,5
19.0349,1.224,0.6075,0.0036,-0.4968,-0.3167,14.3608,M4,E2,5
19.2093,1.1416,0.4815,0.7228,-0.4959,-0.3167,14.2823,M4,E2,5
19.3808,1.0552,0.4563,0.1472,-0.495,-0.3167,14.2051,M4,E2,5
19.5456,1.0271,0.4513,0.0317,-0.4938,-0.3167,14.131,M4,E2,5
19.7211,1.0254,0.4503,0.0105,-0.4923,-0.3167,14.052,M4,E2,5
