Time_s,Distance_m,Velocity_mps,Acceleration_mps2,PosX_m,PosY_m,PosZ_m,Status,MethodRaw,ScenarioRaw,Method,Scenario,RunID,Result
19376.89,11.7485,0.3799,1.1666,-3.1294,-0.3167,29.5724,0,4,3,M4,E3,10,SUCCESS
19377.04,11.601,0.8699,3.6433,-3.1217,-0.3167,29.4251,0,4,3,M4,E3,10,SUCCESS
19377.3,11.8071,0.9739,0.413,-3.1085,-0.3167,29.1646,0,4,3,M4,E3,10,SUCCESS
19377.45,11.652,0.9948,0.1388,-3.1007,-0.3167,29.0097,0,4,3,M4,E3,10,SUCCESS
19377.65,11.874,0.999,0.0223,-3.0909,-0.3167,28.8167,0,4,3,M4,E3,10,SUCCESS
19377.91,11.8076,0.9998,0.0033,-3.0777,-0.3167,28.5573,0,4,3,M4,E3,10,SUCCESS
19378.14,11.5742,1,0.0007,-3.0659,-0.3167,28.3242,0,4,3,M4,E3,10,SUCCESS
19378.38,11.8284,1,0.0001,-3.0538,-0.3167,28.0855,0,4,3,M4,E3,10,SUCCESS
19378.62,11.5932,1,0,-3.0419,-0.3167,27.8505,0,4,3,M4,E3,10,SUCCESS
19378.8,11.8765,1,0,-3.0322,-0.3167,27.6598,0,4,3,M4,E3,10,SUCCESS
19379,11.6795,1,0,-3.0223,-0.3167,27.463,0,4,3,M4,E3,10,SUCCESS
19379.25,11.8169,1,0,-3.0096,-0.3167,27.2126,0,4,3,M4,E3,10,SUCCESS
19379.38,11.6868,1,0,-3.003,-0.3167,27.0827,0,4,3,M4,E3,10,SUCCESS
19379.54,11.905,1,0,-2.9947,-0.3167,26.9203,0,4,3,M4,E3,10,SUCCESS
19379.76,11.6952,1,0,-2.9841,-0.3167,26.7107,0,4,3,M4,E3,10,SUCCESS
19379.92,11.9046,1,0,-2.9759,-0.3167,26.5479,0,4,3,M4,E3,10,SUCCESS
19380.14,11.6802,1,0,-2.9645,-0.3167,26.3237,0,4,3,M4,E3,10,SUCCESS
19380.36,11.8541,1,0,-2.9537,-0.3167,26.1102,0,4,3,M4,E3,10,SUCCESS
19380.6,11.6073,1,0,-2.9412,-0.3167,25.8637,0,4,3,M4,E3,10,SUCCESS
19380.87,11.8042,1,0,-2.9278,-0.3167,25.6002,0,4,3,M4,E3,10,SUCCESS
19381.12,11.5572,1,0,-2.9153,-0.3167,25.3535,0,4,3,M4,E3,10,SUCCESS
19381.23,11.9487,1,0,-2.9093,-0.3167,25.2343,0,4,3,M4,E3,10,SUCCESS
19381.5,11.8066,1,0,-2.896,-0.3167,24.9732,0,4,3,M4,E3,10,SUCCESS
19381.74,11.5627,1,0,-2.8837,-0.3167,24.7295,0,4,3,M4,E3,10,SUCCESS
19382.01,11.7947,1,0,-2.8698,-0.3167,24.4563,0,4,3,M4,E3,10,SUCCESS
19382.24,11.5664,1,0,-2.8582,-0.3167,24.2283,0,4,3,M4,E3,10,SUCCESS
