Time_s,Distance_m,Velocity_mps,Acceleration_mps2,PosX_m,PosY_m,PosZ_m,Method,Scenario,RunID
0,12.5324,1.6377,5.5093,-0.7441,-0.3167,30.2201,B4,E1,9
0.1172,12.6083,1.1106,5.4713,-0.6481,-0.3167,30.2874,B4,E1,9
0.2372,12.6727,1.0165,1.9287,-0.5411,-0.3167,30.3415,B4,E1,9
0.5227,18.2677,0.9906,1.1167,-0.2578,-0.3167,30.3771,B4,E1,9
0.6491,18.2708,0.9939,1.4544,-0.1314,-0.3167,30.3738,B4,E1,9
0.8615,18.2307,0.993,1.0063,0.0744,-0.3167,30.3213,B4,E1,9
1.1948,18.0634,0.9858,0.9578,0.3496,-0.3167,30.1332,B4,E1,9
1.3891,17.9443,0.9932,0.9191,0.4924,-0.3167,30.0014,B4,E1,9
1.5933,17.8016,0.9964,0.6511,0.6244,-0.3167,29.8457,B4,E1,9
1.8011,17.6401,0.9973,0.6059,0.738,-0.3167,29.6717,B4,E1,9
1.9807,17.4925,0.9985,0.4991,0.8237,-0.3167,29.5139,B4,E1,9
2.1624,17.3356,0.9988,0.4579,0.8971,-0.3167,29.3476,B4,E1,9
2.3468,17.1721,0.9993,0.33,0.9621,-0.3167,29.1751,B4,E1,9
2.5319,17.0037,0.9995,0.3055,1.0177,-0.3167,28.9986,B4,E1,9
2.7054,16.8427,0.9995,0.305,1.0611,-0.3167,28.8306,B4,E1,9
2.8813,16.6763,0.9996,0.3,1.0961,-0.3167,28.6582,B4,E1,9
3.0679,16.4985,0.9998,0.1765,1.128,-0.3167,28.4743,B4,E1,9
3.2364,16.3368,0.9999,0.1591,1.1527,-0.3167,28.3077,B4,E1,9
3.4114,16.1677,0.9999,0.1506,1.1737,-0.3167,28.1339,B4,E1,9
3.5868,15.9973,0.9999,0.15,1.1902,-0.3167,27.9593,B4,E1,9
3.7718,15.8164,0.9999,0.1484,1.2025,-0.3167,27.7747,B4,E1,9
3.9484,15.643,0.9999,0.1511,1.2096,-0.3167,27.5982,B4,E1,9
4.1265,15.4681,1,0.03,1.2167,-0.3167,27.4202,B4,E1,9
4.3058,15.2921,1,0.0059,1.2239,-0.3167,27.2412,B4,E1,9
4.4868,15.1146,1,0.0012,1.2312,-0.3167,27.0603,B4,E1,9
4.6662,14.9387,1,0.0002,1.2383,-0.3167,26.881,B4,E1,9
