Time_s,Distance_m,Velocity_mps,Acceleration_mps2,PosX_m,PosY_m,PosZ_m,Method,Scenario,RunID
0,2.1694,0.3325,1.7823,-1.0575,-0.3167,29.6347,B3,E1,5
0.121,2.1526,0.2215,0.9227,-1.0534,-0.3167,29.6116,B3,E1,5
0.3256,2.328,0.45,1.1169,-1.0333,-0.3167,29.5098,B3,E1,5
0.6589,2.414,0.3511,0.2999,-1.0174,-0.3167,29.4022,B3,E1,5
0.7797,2.3563,0.5705,1.8166,-1.0055,-0.3167,29.3276,B3,E1,5
0.9944,2.6308,0.6153,0.2334,-0.9905,-0.3167,29.1939,B3,E1,5
1.2762,2.6601,0.6661,0.1825,-0.9646,-0.3167,29.0044,B3,E1,5
1.4743,2.542,0.7105,0.249,-0.9512,-0.3167,28.862,B3,E1,5
1.7232,2.7923,0.7666,0.2254,-0.9318,-0.3167,28.6687,B3,E1,5
1.9792,2.8378,0.7801,0.0714,-0.9158,-0.3167,28.4687,B3,E1,5
2.2242,2.6648,0.8233,0.1769,-0.8995,-0.3167,28.2651,B3,E1,5
2.5027,2.8984,0.836,0.056,-0.8838,-0.3167,28.0318,B3,E1,5
2.7003,2.7509,0.8621,0.1323,-0.8724,-0.3167,27.8606,B3,E1,5
2.964,2.9656,0.8737,0.0507,-0.8591,-0.3167,27.6298,B3,E1,5
3.1728,2.8045,0.8851,0.055,-0.8485,-0.3167,27.4447,B3,E1,5
3.4813,2.9758,0.8955,0.0375,-0.8344,-0.3167,27.168,B3,E1,5
3.7756,3.0141,0.9014,0.0205,-0.821,-0.3167,26.9026,B3,E1,5
3.8953,2.9178,0.9103,0.0808,-0.8159,-0.3167,26.7935,B3,E1,5
4.1982,3.038,0.9147,0.0153,-0.8035,-0.3167,26.5164,B3,E1,5
4.4774,3.0788,0.9175,0.012,-0.7926,-0.3167,26.2603,B3,E1,5
4.6836,2.9099,0.9223,0.0247,-0.7848,-0.3167,26.07,B3,E1,5
4.9351,3.1329,0.9249,0.0126,-0.7758,-0.3167,25.8374,B3,E1,5
5.1955,3.1404,0.9281,0.0139,-0.7668,-0.3167,25.5957,B3,E1,5
5.3993,2.9708,0.9301,0.0122,-0.76,-0.3167,25.4062,B3,E1,5
5.6226,3.1977,0.9324,0.0116,-0.7529,-0.3167,25.1979,B3,E1,5
5.845,3.0106,0.9341,0.0098,-0.746,-0.3167,24.9902,B3,E1,5
6.0613,3.2271,0.9358,0.0093,-0.7396,-0.3167,24.7878,B3,E1,5
6.2696,3.0504,0.9372,0.0084,-0.7336,-0.3167,24.5927,B3,E1,5
6.4791,3.2538,0.9386,0.0079,-0.7277,-0.3167,24.396,B3,E1,5
6.7841,3.1817,0.9398,0.0049,-0.7194,-0.3167,24.1094,B3,E1,5
7.1175,3.1713,0.9409,0.0041,-0.7107,-0.3167,23.7958,B3,E1,5
7.245,3.0626,0.9405,0.0034,-0.7073,-0.3167,23.6759,B3,E1,5
7.4834,3.2743,0.9405,0.0013,-0.7011,-0.3167,23.4518,B3,E1,5
7.798,3.2189,0.9423,0.0066,-0.6933,-0.3167,23.1553,B3,E1,5
8.0409,3.0106,0.9427,0.0032,-0.6874,-0.3167,22.9264,B3,E1,5
8.3406,3.2561,0.9428,0.0012,-0.6803,-0.3167,22.6439,B3,E1,5
8.4765,3.1383,0.9443,0.0139,-0.6772,-0.3167,22.5155,B3,E1,5
8.8099,3.2453,0.944,0.0011,-0.6696,-0.3167,22.201,B3,E1,5
8.9508,3.1227,0.9462,0.0176,-0.6666,-0.3167,22.0675,B3,E1,5
9.1709,3.3639,0.9446,0.0075,-0.6618,-0.3167,21.8598,B3,E1,5
9.4733,3.2996,0.9478,0.0117,-0.6557,-0.3167,21.573,B3,E1,5
9.6831,3.1164,0.947,0.004,-0.6515,-0.3167,21.3745,B3,E1,5
9.889,3.4046,0.9478,0.0053,-0.6475,-0.3167,21.1793,B3,E1,5
10.213,3.3079,0.9486,0.0033,-0.6414,-0.3167,20.8719,B3,E1,5
10.4241,3.1222,0.9496,0.0056,-0.6375,-0.3167,20.6714,B3,E1,5
10.6373,3.426,0.9486,0.0048,-0.6336,-0.3167,20.4693,B3,E1,5
10.8618,3.2267,0.9507,0.011,-0.6298,-0.3167,20.2558,B3,E1,5
11.0745,3.442,0.9505,0.0016,-0.6262,-0.3167,20.0536,B3,E1,5
11.2927,3.2475,0.952,0.0079,-0.6228,-0.3167,19.8459,B3,E1,5
11.5083,3.4541,0.952,0.0015,-0.6194,-0.3167,19.6406,B3,E1,5
11.7123,3.2715,0.9531,0.0061,-0.6163,-0.3167,19.4461,B3,E1,5
12.0263,3.3796,0.9533,0.0012,-0.6117,-0.3167,19.1469,B3,E1,5
12.2405,3.188,0.9542,0.005,-0.6086,-0.3167,18.9425,B3,E1,5
12.5443,3.406,0.9528,0.0047,-0.6042,-0.3167,18.6532,B3,E1,5
12.7556,3.2162,0.9547,0.0104,-0.6014,-0.3167,18.4513,B3,E1,5
12.9699,3.5036,0.9531,0.0078,-0.5985,-0.3167,18.2472,B3,E1,5
13.2566,3.4444,0.9555,0.0091,-0.5949,-0.3167,17.9732,B3,E1,5
13.4666,3.255,0.9547,0.0037,-0.5922,-0.3167,17.7727,B3,E1,5
13.6905,3.517,0.9553,0.0036,-0.5895,-0.3167,17.5588,B3,E1,5
14.0051,3.4413,0.9558,0.0021,-0.5859,-0.3167,17.258,B3,E1,5
14.2299,3.2376,0.9564,0.0033,-0.5833,-0.3167,17.043,B3,E1,5
14.4919,3.5058,0.9554,0.0036,-0.5804,-0.3167,16.7928,B3,E1,5
14.7269,3.2917,0.9571,0.0076,-0.5779,-0.3167,16.5678,B3,E1,5
14.9851,3.5242,0.9564,0.0024,-0.5752,-0.3167,16.321,B3,E1,5
15.283,3.495,0.9578,0.0051,-0.5723,-0.3167,16.0355,B3,E1,5
15.6008,3.4857,0.9573,0.0015,-0.5693,-0.3167,15.7313,B3,E1,5
