Tiempo_s,Distancia_m,Velocidad_mps,Aceleracion_mps2,PosX_m,PosY_m,PosZ_m,Metodo,Escenario,RunID
0,12,2.8287,24.4818,-1.0728,-0.3167,29.3015,M0,E1,1
0.1776,12,1.3657,8.2383,-1.0714,-0.3167,29.1239,M0,E1,1
0.3407,12,1.0731,1.7939,-1.0701,-0.3167,28.9608,M0,E1,1
0.6134,12,1.0146,0.2146,-1.068,-0.3167,28.6881,M0,E1,1
0.8745,12,1.0029,0.0448,-1.066,-0.3167,28.427,M0,E1,1
1.0367,12,1.0006,0.0145,-1.0647,-0.3167,28.2648,M0,E1,1
1.2053,12,1.0001,0.0028,-1.0634,-0.3167,28.0962,M0,E1,1
1.3594,12,1,0.0006,-1.0622,-0.3167,27.9421,M0,E1,1
1.5135,12,1,0.0001,-1.061,-0.3167,27.788,M0,E1,1
1.6774,12,1,0,-1.0597,-0.3167,27.6241,M0,E1,1
1.8385,12,1,0,-1.0584,-0.3167,27.463,M0,E1,1
1.9955,12,1,0,-1.0572,-0.3167,27.306,M0,E1,1
2.1518,12,1,0,-1.056,-0.3167,27.1498,M0,E1,1
2.3063,12,1,0,-1.0548,-0.3167,26.9953,M0,E1,1
2.4668,12,1,0,-1.0535,-0.3167,26.8347,M0,E1,1
2.7401,12,1,0,-1.0514,-0.3167,26.5614,M0,E1,1
2.905,12,1,0,-1.0501,-0.3167,26.3966,M0,E1,1
3.0832,12,1,0,-1.0487,-0.3167,26.2184,M0,E1,1
3.3363,12,1,0,-1.0467,-0.3167,25.9653,M0,E1,1
3.4874,12,1,0,-1.0455,-0.3167,25.8142,M0,E1,1
3.7552,12,1,0,-1.0434,-0.3167,25.5464,M0,E1,1
3.9553,12,1,0,-1.0419,-0.3167,25.3462,M0,E1,1
4.1234,12,1,0,-1.0405,-0.3167,25.1782,M0,E1,1
4.2798,12,1,0,-1.0393,-0.3167,25.0218,M0,E1,1
4.5839,12,1,0,-1.0369,-0.3167,24.7178,M0,E1,1
4.7553,12,1,0,-1.0356,-0.3167,24.5464,M0,E1,1
5.0192,12,1,0,-1.0335,-0.3167,24.2825,M0,E1,1
5.1877,12,1,0,-1.0322,-0.3167,24.1139,M0,E1,1
5.4592,12,1,0,-1.0301,-0.3167,23.8425,M0,E1,1
5.6305,12,1,0,-1.0287,-0.3167,23.6712,M0,E1,1
5.8173,12,1,0,-1.0273,-0.3167,23.4843,M0,E1,1
5.9844,12,1,0,-1.026,-0.3167,23.3172,M0,E1,1
6.2423,12,1,0,-1.024,-0.3167,23.0594,M0,E1,1
6.41,12,1,0,-1.0226,-0.3167,22.8917,M0,E1,1
6.5951,12,1,0,-1.0212,-0.3167,22.7066,M0,E1,1
6.8753,12,1,0,-1.019,-0.3167,22.4263,M0,E1,1
7.0471,12,1,0,-1.0177,-0.3167,22.2546,M0,E1,1
7.2296,12,1,0,-1.0162,-0.3167,22.0721,M0,E1,1
7.4986,12,1,0,-1.0141,-0.3167,21.8031,M0,E1,1
7.7671,12,1,0,-1.012,-0.3167,21.5346,M0,E1,1
7.9492,12,1,0,-1.0106,-0.3167,21.3525,M0,E1,1
8.1353,12,1,0,-1.0091,-0.3167,21.1664,M0,E1,1
8.4156,12,1,0,-1.007,-0.3167,20.8861,M0,E1,1
8.5808,12,1,0,-1.0057,-0.3167,20.721,M0,E1,1
8.7475,12,1,0,-1.0044,-0.3167,20.5542,M0,E1,1
8.9148,12,1,0,-1.003,-0.3167,20.387,M0,E1,1
9.0879,12,1,0,-1.0017,-0.3167,20.2139,M0,E1,1
9.3639,12,1,0,-0.9995,-0.3167,19.9379,M0,E1,1
9.524,12,1,0,-0.9983,-0.3167,19.7777,M0,E1,1
9.71,12,1,0,-0.9968,-0.3167,19.5918,M0,E1,1
9.883,12,1,0,-0.9955,-0.3167,19.4187,M0,E1,1
10.0593,12,1,0,-0.9941,-0.3167,19.2425,M0,E1,1
10.2214,12,1,0,-0.9928,-0.3167,19.0804,M0,E1,1
10.3961,12,1,0,-0.9915,-0.3167,18.9057,M0,E1,1
10.5609,12,1,0,-0.9902,-0.3167,18.7409,M0,E1,1
10.7262,12,1,0,-0.9889,-0.3167,18.5756,M0,E1,1
10.9028,12,1,0,-0.9875,-0.3167,18.399,M0,E1,1
11.0821,12,1,0,-0.9861,-0.3167,18.2198,M0,E1,1
11.2585,12,1,0,-0.9847,-0.3167,18.0434,M0,E1,1
11.4529,12,1,0,-0.9832,-0.3167,17.849,M0,E1,1
11.6323,12,1,0,-0.9818,-0.3167,17.6695,M0,E1,1
11.8113,12,1,0,-0.9804,-0.3167,17.4906,M0,E1,1
12.1149,12,1,0,-0.978,-0.3167,17.187,M0,E1,1
