Time_s,Distance_m,Velocity_mps,Acceleration_mps2,PosX_m,PosY_m,PosZ_m,Status,MethodRaw,ScenarioRaw,Method,Scenario,RunID,Result
30283.85,3.5423,0.3788,1.1718,-3.1301,-0.3167,29.5738,0,7,2,B3,E2,6,SUCCESS
30283.96,3.5225,0.2336,1.3005,-3.1201,-0.3167,29.5542,0,7,2,B3,E2,6,SUCCESS
30284.24,3.934,0.5619,1.2053,-3.04,-0.3167,29.3982,0,7,2,B3,E2,6,SUCCESS
30284.46,3.8601,0.3897,0.7723,-3.0047,-0.3167,29.3294,0,7,2,B3,E2,6,SUCCESS
30284.67,4.1277,0.7224,1.5686,-2.9267,-0.3167,29.1774,0,7,2,B3,E2,6,SUCCESS
30284.91,3.988,0.616,0.4374,-2.8613,-0.3167,29.0499,0,7,2,B3,E2,6,SUCCESS
30285.12,4.1536,0.8226,0.9882,-2.7778,-0.3167,28.8872,0,7,2,B3,E2,6,SUCCESS
30285.33,3.9981,0.7692,0.2557,-2.7058,-0.3167,28.7467,0,7,2,B3,E2,6,SUCCESS
30285.56,4.1676,0.8883,0.533,-2.6121,-0.3167,28.5642,0,7,2,B3,E2,6,SUCCESS
30285.82,4.1223,0.8503,0.1426,-2.5099,-0.3167,28.365,0,7,2,B3,E2,6,SUCCESS
30286.12,4.0312,0.9289,0.2623,-2.3801,-0.3167,28.1121,0,7,2,B3,E2,6,SUCCESS
30286.26,3.9034,0.915,0.0994,-2.3216,-0.3167,27.9981,0,7,2,B3,E2,6,SUCCESS
30286.46,4.185,0.9624,0.2357,-2.2321,-0.3167,27.8237,0,7,2,B3,E2,6,SUCCESS
30286.71,3.9579,0.9383,0.0992,-2.1285,-0.3167,27.6217,0,7,2,B3,E2,6,SUCCESS
30286.81,4.1864,0.974,0.3413,-2.0815,-0.3167,27.5302,0,7,2,B3,E2,6,SUCCESS
30287.06,3.9515,0.9626,0.0465,-1.9743,-0.3167,27.3211,0,7,2,B3,E2,6,SUCCESS
30287.29,4.0458,0.9812,0.0798,-1.8692,-0.3167,27.1163,0,7,2,B3,E2,6,SUCCESS
30287.47,3.8712,0.9771,0.0653,-1.7916,-0.3167,26.9597,0,7,2,B3,E2,6,SUCCESS
30287.69,4.1005,0.9878,0.0927,-1.6967,-0.3167,26.7583,0,7,2,B3,E2,6,SUCCESS
30287.85,3.9515,0.983,0.1007,-1.6349,-0.3167,26.6222,0,7,2,B3,E2,6,SUCCESS
30288.08,4.1094,0.9899,0.1459,-1.5468,-0.3167,26.4063,0,7,2,B3,E2,6,SUCCESS
30288.35,3.9993,0.9853,0.0349,-1.4486,-0.3167,26.1644,0,7,2,B3,E2,6,SUCCESS
30288.45,3.899,0.9785,1.1092,-1.4244,-0.3167,26.0667,0,7,2,B3,E2,6,SUCCESS
30288.71,4.0735,0.9751,0.1523,-1.3688,-0.3167,25.8197,0,7,2,B3,E2,6,SUCCESS
30288.91,3.8799,0.9781,0.1114,-1.3296,-0.3167,25.6295,0,7,2,B3,E2,6,SUCCESS
30289.15,4.0624,0.9795,0.2482,-1.298,-0.3167,25.3894,0,7,2,B3,E2,6,SUCCESS
30289.37,3.8533,0.9815,0.0248,-1.2686,-0.3167,25.1807,0,7,2,B3,E2,6,SUCCESS
30289.57,4.1047,0.9855,0.2355,-1.2525,-0.3167,24.9848,0,7,2,B3,E2,6,SUCCESS
30289.83,4.0651,0.9863,0.0034,-1.2281,-0.3167,24.7269,0,7,2,B3,E2,6,SUCCESS
30290.01,3.8929,0.9897,0.1586,-1.2178,-0.3167,24.5517,0,7,2,B3,E2,6,SUCCESS
30290.25,4.1265,0.9912,0.0269,-1.2042,-0.3167,24.3167,0,7,2,B3,E2,6,SUCCESS
30290.48,3.8997,0.9928,0.0503,-1.1938,-0.3167,24.0853,0,7,2,B3,E2,6,SUCCESS
30290.59,4.2122,0.9943,0.0619,-1.1895,-0.3167,23.9777,0,7,2,B3,E2,6,SUCCESS
30290.87,4.1429,0.9954,0.0262,-1.1804,-0.3167,23.692,0,7,2,B3,E2,6,SUCCESS
30291.07,3.9548,0.9956,0.0032,-1.1737,-0.3167,23.4999,0,7,2,B3,E2,6,SUCCESS
30291.29,4.1608,0.9973,0.045,-1.1688,-0.3167,23.279,0,7,2,B3,E2,6,SUCCESS
30291.49,3.9635,0.997,0.0099,-1.1634,-0.3167,23.0773,0,7,2,B3,E2,6,SUCCESS
30291.73,4.1489,0.9982,0.0287,-1.1591,-0.3167,22.8381,0,7,2,B3,E2,6,SUCCESS
30291.96,3.9237,0.998,0.0067,-1.1541,-0.3167,22.6076,0,7,2,B3,E2,6,SUCCESS
30292.21,4.1323,0.9989,0.0198,-1.1503,-0.3167,22.3616,0,7,2,B3,E2,6,SUCCESS
