Time_s,Distance_m,Velocity_mps,Acceleration_mps2,PosX_m,PosY_m,PosZ_m,Method,Scenario,RunID
0,0.8019,0.1434,0.4236,-1.0245,-0.46,29.6782,B1,E2,7
0.3333,0.6285,0.3913,0.7734,-0.9278,-0.46,29.5614,B1,E2,7
0.6667,0.5243,0.6214,0.7795,-0.832,-0.46,29.3551,B1,E2,7
1,0.4863,0.8965,0.9588,-0.7627,-0.46,29.0395,B1,E2,7
1.3333,0.508,0.9864,0.7162,-0.775,-0.46,28.7009,B1,E2,7
1.6667,0.6344,0.9526,0.8266,-0.8813,-0.46,28.4003,B1,E2,7
2,0.8424,0.9967,0.7947,-1.0726,-0.46,28.12,B1,E2,7
2.3333,0.9512,1.0119,0.4923,-1.3016,-0.46,27.8688,B1,E2,7
2.6667,1.0765,0.97,0.1369,-1.5132,-0.46,27.6289,B1,E2,7
3,0.7554,1.0074,0.3593,-1.698,-0.46,27.344,B1,E2,7
3.3333,0.4443,0.9173,0.5717,-1.809,-0.46,27.0654,B1,E2,7
3.6667,0.2203,0.7566,0.663,-1.8539,-0.46,26.8291,B1,E2,7
4,0.4337,0.548,0.6645,-1.868,-0.46,26.6639,B1,E2,7
4.3333,0.8096,0.5087,0.2275,-1.8636,-0.46,26.4972,B1,E2,7
4.6667,1.3505,0.4218,0.3413,-1.8367,-0.46,26.3658,B1,E2,7
5,1.815,0.3528,0.3076,-1.7917,-0.46,26.2624,B1,E2,7
5.3333,2.2908,0.3409,0.1937,-1.7297,-0.46,26.1677,B1,E2,7
5.6667,2.6859,0.324,0.0759,-1.6691,-0.46,26.0799,B1,E2,7
6,2.5668,0.4137,0.2746,-1.5957,-0.46,25.9544,B1,E2,7
6.3333,2.4566,0.3537,0.1944,-1.5461,-0.46,25.8528,B1,E2,7
6.6667,2.3863,0.241,0.3442,-1.5204,-0.46,25.7866,B1,E2,7
7,2.3577,0.1169,0.3734,-1.5116,-0.46,25.7593,B1,E2,7
7.3333,2.3266,0.098,0.0668,-1.5053,-0.46,25.7288,B1,E2,7
7.6667,2.2624,0.1742,0.232,-1.4972,-0.46,25.6648,B1,E2,7
8,2.1421,0.3285,0.4667,-1.4915,-0.46,25.5425,B1,E2,7
8.3333,1.966,0.503,0.5286,-1.4939,-0.46,25.3603,B1,E2,7
8.6667,1.7966,0.5272,0.0826,-1.5002,-0.46,25.1826,B1,E2,7
9,1.5895,0.6336,0.3191,-1.508,-0.46,24.9627,B1,E2,7
9.3333,1.3803,0.6707,0.1114,-1.516,-0.46,24.7362,B1,E2,7
9.6667,1.1641,0.7156,0.1346,-1.5246,-0.46,24.4941,B1,E2,7
10,0.9426,0.7777,0.1865,-1.534,-0.46,24.2298,B1,E2,7
10.3333,0.7299,0.8642,0.2595,-1.5445,-0.46,23.9347,B1,E2,7
10.6667,0.5958,0.8555,0.0262,-1.5546,-0.46,23.6504,B1,E2,7
11,0.5861,0.8965,0.1228,-1.5653,-0.46,23.3484,B1,E2,7
11.3333,0.7173,0.9046,0.0246,-1.5761,-0.46,23.0464,B1,E2,7
11.6667,0.9407,0.933,0.0852,-1.5872,-0.46,22.7332,B1,E2,7
12,1.2284,1.0026,0.2087,-1.5993,-0.46,22.3934,B1,E2,7
12.3333,1.5375,1.0165,0.0417,-1.6113,-0.46,22.0536,B1,E2,7
12.6667,1.8385,0.9713,0.1357,-1.6227,-0.46,21.7338,B1,E2,7
13,2.1642,1.0102,0.1169,-1.6348,-0.46,21.394,B1,E2,7
13.3333,2.4938,1.018,0.0234,-1.6468,-0.46,21.0543,B1,E2,7
13.6667,2.8063,0.9716,0.1393,-1.6582,-0.46,20.7345,B1,E2,7
14,3.1399,1.0103,0.1161,-1.6703,-0.46,20.3947,B1,E2,7
14.3333,3.4748,1.0181,0.0232,-1.6823,-0.46,20.0549,B1,E2,7
14.6667,3.7908,0.9716,0.1394,-1.6937,-0.46,19.7351,B1,E2,7
15,4.1272,1.0103,0.1161,-1.7058,-0.46,19.3953,B1,E2,7
15.3333,4.4642,1.0181,0.0232,-1.7178,-0.46,19.0555,B1,E2,7
15.6667,4.7817,0.9716,0.1394,-1.7292,-0.46,18.7358,B1,E2,7
16,5.1195,1.0103,0.1161,-1.7413,-0.46,18.396,B1,E2,7
16.3333,5.4575,1.0181,0.0232,-1.7533,-0.46,18.0562,B1,E2,7
16.6667,5.7758,0.9716,0.1394,-1.7647,-0.46,17.7364,B1,E2,7
17,6.1142,1.0103,0.1161,-1.7768,-0.46,17.3966,B1,E2,7
17.3333,6.2803,1.0181,0.0232,-1.7888,-0.46,17.0568,B1,E2,7
17.6667,6.3281,0.9716,0.1394,-1.8002,-0.46,16.737,B1,E2,7
18,6.3566,1.0103,0.1161,-1.8123,-0.46,16.3973,B1,E2,7
18.3333,6.3851,1.0181,0.0232,-1.8243,-0.46,16.0575,B1,E2,7
18.6667,6.4329,0.9716,0.1394,-1.8357,-0.46,15.7377,B1,E2,7
19,6.4613,1.0103,0.1161,-1.8478,-0.46,15.3979,B1,E2,7
19.3333,6.4898,1.0181,0.0232,-1.8598,-0.46,15.0581,B1,E2,7
19.6667,6.5376,0.9716,0.1394,-1.8712,-0.46,14.7383,B1,E2,7
20,6.5661,1.0103,0.1161,-1.8833,-0.46,14.3985,B1,E2,7
20.3333,6.5946,1.0181,0.0232,-1.8953,-0.46,14.0588,B1,E2,7
20.6667,6.6424,0.9716,0.1394,-1.9067,-0.46,13.739,B1,E2,7
21,6.6709,1.0103,0.1161,-1.9188,-0.46,13.3992,B1,E2,7
21.3333,6.6994,1.0181,0.0232,-1.9308,-0.46,13.0594,B1,E2,7
21.6667,6.7471,0.9716,0.1394,-1.9422,-0.46,12.7396,B1,E2,7
22,6.7756,1.0103,0.1161,-1.9543,-0.46,12.3998,B1,E2,7
