Time_s,Distance_m,Velocity_mps,Acceleration_mps2,PosX_m,PosY_m,PosZ_m,Method,Scenario,RunID
0,7.0513,0.1565,0.4695,-2.6805,-0.46,29.6834,B1,E2,6
0.3333,6.3089,0.4822,0.9833,-2.5215,-0.46,29.5831,B1,E2,6
0.6667,5.6264,0.8152,1.0234,-2.2898,-0.46,29.3928,B1,E2,6
1,5.1743,0.8957,0.3756,-2.0786,-0.46,29.1716,B1,E2,6
1.3333,5.2994,0.869,0.2827,-1.9026,-0.46,28.9438,B1,E2,6
1.6667,5.3488,0.9072,0.2555,-1.7353,-0.46,28.6876,B1,E2,6
2,5.5965,0.9149,0.2244,-1.5895,-0.46,28.4187,B1,E2,6
2.3333,5.8464,0.8733,0.2448,-1.4728,-0.46,28.1555,B1,E2,6
2.6667,5.7801,0.9083,0.2313,-1.3699,-0.46,27.8674,B1,E2,6
3,5.6525,0.9157,0.144,-1.2805,-0.46,27.5747,B1,E2,6
3.3333,5.4165,0.8741,0.1672,-1.2074,-0.46,27.2962,B1,E2,6
3.6667,4.8893,0.909,0.1513,-1.1415,-0.46,26.9974,B1,E2,6
4,4.3659,0.916,0.1128,-1.0878,-0.46,26.6962,B1,E2,6
4.3333,3.8244,0.8742,0.1637,-1.0485,-0.46,26.4109,B1,E2,6
4.6667,3.2992,0.909,0.1503,-1.0188,-0.46,26.1063,B1,E2,6
5,2.7722,0.9161,0.1003,-0.9998,-0.46,25.8009,B1,E2,6
5.3333,2.2281,0.8744,0.1281,-0.9832,-0.46,25.5134,B1,E2,6
5.6667,1.7031,0.9093,0.1048,-0.9656,-0.46,25.2079,B1,E2,6
6,1.5353,0.9163,0.021,-0.948,-0.46,24.9024,B1,E2,6
6.3333,1.5159,0.8745,0.1254,-0.9314,-0.46,24.6148,B1,E2,6
6.6667,1.5285,0.9093,0.1045,-0.9138,-0.46,24.3093,B1,E2,6
7,1.5155,0.9163,0.0209,-0.8962,-0.46,24.0038,B1,E2,6
7.3333,1.4728,0.8745,0.1254,-0.8796,-0.46,23.7163,B1,E2,6
7.6667,1.2039,0.9093,0.1045,-0.8617,-0.46,23.4108,B1,E2,6
8,1.1147,0.9163,0.0289,-0.841,-0.46,23.1055,B1,E2,6
8.3333,1.1236,0.8733,0.196,-0.8021,-0.46,22.8205,B1,E2,6
