Time_s,Distance_m,Velocity_mps,Acceleration_mps2,PosX_m,PosY_m,PosZ_m,Method,Scenario,RunID
0,1.0702,0.1436,0.4241,-1.0235,-0.46,29.6797,B1,E2,5
0.3333,0.8073,0.3654,0.6805,-0.9209,-0.46,29.5836,B1,E2,5
0.6667,0.5789,0.6459,0.8745,-0.7759,-0.46,29.3935,B1,E2,5
1,0.3862,0.6879,0.3081,-0.6641,-0.46,29.1885,B1,E2,5
1.3333,0.2572,0.4598,0.7464,-0.6266,-0.46,29.0583,B1,E2,5
1.6667,0.3631,0.2975,0.5142,-0.6146,-0.46,28.9728,B1,E2,5
2,0.6344,0.1754,0.3723,-0.6117,-0.46,28.9245,B1,E2,5
2.3333,0.9086,0.2242,0.1717,-0.6172,-0.46,28.8457,B1,E2,5
2.6667,1.2657,0.226,0.1018,-0.6344,-0.46,28.7719,B1,E2,5
3,1.4706,0.1347,0.2888,-0.651,-0.46,28.738,B1,E2,5
3.3333,1.4577,0.1113,0.106,-0.6725,-0.46,28.7098,B1,E2,5
3.6667,1.4788,0.1121,0.0716,-0.7009,-0.46,28.6849,B1,E2,5
4,1.538,0.1124,0.0691,-0.7336,-0.46,28.6663,B1,E2,5
4.3333,1.6071,0.188,0.2523,-0.8003,-0.46,28.6472,B1,E2,5
4.6667,1.7543,0.0964,0.2794,-0.8249,-0.46,28.6446,B1,E2,5
5,1.9446,0.0193,0.2315,-0.8249,-0.46,28.6446,B1,E2,5
5.3333,2.1513,0.0039,0.0463,-0.8249,-0.46,28.6446,B1,E2,5
5.6667,2.356,0.043,0.1176,-0.8411,-0.46,28.638,B1,E2,5
6,2.4937,0.2557,0.6418,-0.9256,-0.46,28.579,B1,E2,5
6.3333,2.5707,0.4557,0.6404,-1.0373,-0.46,28.452,B1,E2,5
6.6667,2.5995,0.6168,0.5676,-1.1484,-0.46,28.2623,B1,E2,5
7,2.6234,0.6649,0.3355,-1.2299,-0.46,28.0511,B1,E2,5
7.3333,2.6635,0.6433,0.2645,-1.2805,-0.46,27.844,B1,E2,5
7.6667,2.6625,0.7463,0.387,-1.3159,-0.46,27.5886,B1,E2,5
8,2.6586,0.7831,0.2227,-1.3309,-0.46,27.3247,B1,E2,5
8.3333,2.6734,0.7535,0.1748,-1.3295,-0.46,27.0758,B1,E2,5
8.6667,2.6762,0.7851,0.1493,-1.3162,-0.46,26.8117,B1,E2,5
9,2.6821,0.7915,0.1017,-1.292,-0.46,26.5484,B1,E2,5
9.3333,2.7053,0.7555,0.1296,-1.2622,-0.46,26.3013,B1,E2,5
9.6667,2.5902,0.7857,0.1032,-1.2258,-0.46,26.0394,B1,E2,5
10,2.3261,0.7918,0.0267,-1.188,-0.46,25.7777,B1,E2,5
10.3333,2.0777,0.7557,0.1084,-1.1524,-0.46,25.5313,B1,E2,5
10.6667,1.8139,0.7858,0.0903,-1.1146,-0.46,25.2696,B1,E2,5
11,1.5503,0.7918,0.0181,-1.0767,-0.46,25.0079,B1,E2,5
11.3333,1.2738,0.8252,0.1,-1.037,-0.46,24.7329,B1,E2,5
11.6667,0.9738,0.8904,0.1956,-0.9938,-0.46,24.4338,B1,E2,5
12,0.6758,0.9034,0.0391,-0.9506,-0.46,24.1346,B1,E2,5
12.3333,0.4012,0.8634,0.1202,-0.9099,-0.46,23.8531,B1,E2,5
12.6667,0.1551,0.898,0.104,-0.8667,-0.46,23.554,B1,E2,5
13,0.2642,0.9049,0.0208,-0.8235,-0.46,23.2549,B1,E2,5
13.3333,0.5289,0.8637,0.1238,-0.7828,-0.46,22.9734,B1,E2,5
13.6667,0.8247,0.8981,0.1032,-0.7396,-0.46,22.6742,B1,E2,5
14,1.1239,0.905,0.0206,-0.6964,-0.46,22.3751,B1,E2,5
14.3333,1.4067,0.8637,0.1239,-0.6557,-0.46,22.0936,B1,E2,5
14.6667,1.7078,0.8981,0.1032,-0.6125,-0.46,21.7945,B1,E2,5
15,2.0092,0.905,0.0206,-0.5693,-0.46,21.4954,B1,E2,5
15.3333,2.2931,0.8637,0.1239,-0.5286,-0.46,21.2138,B1,E2,5
15.6667,2.5948,0.8981,0.1032,-0.4854,-0.46,20.9147,B1,E2,5
16,2.5822,0.9165,0.0553,-0.4418,-0.46,20.6108,B1,E2,5
16.3333,2.5597,0.9263,0.0509,-0.4036,-0.46,20.3036,B1,E2,5
16.6667,2.5135,1.0013,0.2253,-0.3623,-0.46,19.9661,B1,E2,5
17,2.469,1.0163,0.0451,-0.3209,-0.46,19.6286,B1,E2,5
17.3333,2.4411,0.9713,0.135,-0.282,-0.46,19.311,B1,E2,5
17.6667,2.3995,1.0103,0.117,-0.2407,-0.46,18.9735,B1,E2,5
18,2.3597,1.0181,0.0234,-0.1994,-0.46,18.636,B1,E2,5
18.3333,2.331,0.9715,0.1485,-0.1674,-0.46,18.3176,B1,E2,5
18.6667,2.2812,1.0102,0.148,-0.1448,-0.46,17.9784,B1,E2,5
19,2.2317,1.018,0.0375,-0.1237,-0.46,17.639,B1,E2,5
19.3333,2.1974,0.9716,0.1394,-0.104,-0.46,17.3196,B1,E2,5
19.6667,2.1503,1.0104,0.1162,-0.0829,-0.46,16.9803,B1,E2,5
20,2.1046,1.0181,0.0232,-0.0619,-0.46,16.6409,B1,E2,5
20.3333,2.0735,0.9716,0.1394,-0.0421,-0.46,16.3215,B1,E2,5
20.6667,2.0307,1.0104,0.1161,-0.0211,-0.46,15.9822,B1,E2,5
21,1.9898,1.0181,0.0231,0,-0.46,15.6428,B1,E2,5
21.3333,1.9623,0.9716,0.1394,0.0197,-0.46,15.3234,B1,E2,5
21.6667,1.9248,1.0103,0.1161,0.0408,-0.46,14.9841,B1,E2,5
22,1.8894,1.018,0.0232,0.0618,-0.46,14.6448,B1,E2,5
22.3333,1.8662,0.9716,0.1394,0.0816,-0.46,14.3254,B1,E2,5
22.6667,1.8348,1.0103,0.1161,0.1026,-0.46,13.986,B1,E2,5
23,1.8058,1.018,0.0232,0.1237,-0.46,13.6467,B1,E2,5
23.3333,1.7876,0.9716,0.1394,0.1435,-0.46,13.3273,B1,E2,5
23.6667,1.7631,1.0103,0.1161,0.1645,-0.46,12.988,B1,E2,5
24,1.7414,1.018,0.0232,0.1855,-0.46,12.6486,B1,E2,5
24.3333,1.7288,0.9716,0.1394,0.2053,-0.46,12.3292,B1,E2,5
24.6667,1.7121,1.0103,0.1161,0.2263,-0.46,11.9899,B1,E2,5
25,1.6985,1.018,0.0232,0.2474,-0.46,11.6506,B1,E2,5
25.3333,1.6919,0.9716,0.1394,0.2672,-0.46,11.3312,B1,E2,5
25.6667,1.6836,1.0103,0.1161,0.2882,-0.46,10.9918,B1,E2,5
26,1.6786,1.018,0.0232,0.3092,-0.46,10.6525,B1,E2,5
26.3333,1.6784,0.9716,0.1394,0.329,-0.46,10.3331,B1,E2,5
26.6667,1.6789,1.0103,0.1161,0.35,-0.46,9.9938,B1,E2,5
27,1.6826,1.018,0.0232,0.3711,-0.46,9.6544,B1,E2,5
27.3333,1.6888,0.9716,0.1394,0.3909,-0.46,9.335,B1,E2,5
27.6667,1.698,1.0103,0.1161,0.4119,-0.46,8.9957,B1,E2,5
28,1.7103,1.018,0.0232,0.4329,-0.46,8.6563,B1,E2,5
28.3333,1.7226,0.9716,0.1394,0.4527,-0.46,8.337,B1,E2,5
28.6667,1.7402,1.0103,0.1161,0.4737,-0.46,7.9976,B1,E2,5
29,1.7607,1.0181,0.0233,0.4948,-0.46,7.6583,B1,E2,5
29.3333,1.7787,0.9716,0.1393,0.5146,-0.46,7.3389,B1,E2,5
29.6667,1.8039,1.0103,0.1161,0.5356,-0.46,6.9995,B1,E2,5
30,1.8317,1.0181,0.0232,0.5566,-0.46,6.6602,B1,E2,5
30.3333,1.8549,0.9716,0.1394,0.5764,-0.46,6.3408,B1,E2,5
30.6667,1.8869,1.0103,0.1161,0.5974,-0.46,6.0014,B1,E2,5
31,1.9212,1.0181,0.0232,0.6185,-0.46,5.6621,B1,E2,5
31.3333,1.9488,0.9716,0.1394,0.6383,-0.46,5.3427,B1,E2,5
31.6667,1.9868,1.0103,0.1161,0.6593,-0.46,5.0033,B1,E2,5
32,2.0267,1.0181,0.0232,0.6803,-0.46,4.664,B1,E2,5
32.3333,2.0582,0.9716,0.1394,0.7001,-0.46,4.3446,B1,E2,5
32.6667,2.1012,1.0103,0.1161,0.7211,-0.46,4.0053,B1,E2,5
33,2.1459,1.0181,0.0232,0.7422,-0.46,3.6659,B1,E2,5
33.3333,2.1805,0.9716,0.1394,0.762,-0.46,3.3465,B1,E2,5
33.6667,2.2278,1.0103,0.1161,0.783,-0.46,3.0072,B1,E2,5
34,2.2765,1.0181,0.0232,0.804,-0.46,2.6678,B1,E2,5
34.3333,2.3139,0.9716,0.1394,0.8238,-0.46,2.3484,B1,E2,5
34.6667,2.3647,1.0103,0.1161,0.8448,-0.46,2.0091,B1,E2,5
