Time_s,Distance_m,Velocity_mps,Acceleration_mps2,PosX_m,PosY_m,PosZ_m,Method,Scenario,RunID
0,1.3324,0.5755,5.1603,-1.0195,-0.3167,29.653,B3,E2,5
0.1901,1.3946,0.378,1.0904,-0.9847,-0.3167,29.6007,B3,E2,5
0.3915,1.4903,0.6418,1.3096,-0.8993,-0.3167,29.4865,B3,E2,5
0.6829,1.645,0.6467,0.1875,-0.8026,-0.3167,29.3242,B3,E2,5
0.8119,1.7604,0.8553,1.6165,-0.7406,-0.3167,29.2249,B3,E2,5
1.0094,1.8752,0.9194,0.4698,-0.6577,-0.3167,29.0596,B3,E2,5
1.276,2.0673,0.9615,0.173,-0.5318,-0.3167,28.833,B3,E2,5
1.4592,2.0056,0.9918,0.3949,-0.4573,-0.3167,28.6657,B3,E2,5
1.651,2.2364,0.9983,0.1044,-0.3806,-0.3167,28.4899,B3,E2,5
1.8451,2.1636,0.9995,0.1933,-0.3106,-0.3167,28.3089,B3,E2,5
2.0298,2.3428,0.9998,0.1066,-0.2466,-0.3167,28.1357,B3,E2,5
2.2193,2.2668,0.9998,0.1733,-0.1873,-0.3167,27.9557,B3,E2,5
2.4138,2.4231,0.9999,0.0932,-0.1292,-0.3167,27.77,B3,E2,5
2.6098,2.3411,0.9999,0.1459,-0.0765,-0.3167,27.5812,B3,E2,5
2.803,2.4969,0.9999,0.0961,-0.0276,-0.3167,27.3944,B3,E2,5
2.9959,2.4118,0.9999,0.1266,0.0164,-0.3167,27.2066,B3,E2,5
3.1902,2.5554,1,0.0829,0.0581,-0.3167,27.0168,B3,E2,5
3.4887,2.3864,0.9999,0.0662,0.1161,-0.3167,26.724,B3,E2,5
3.6899,2.4445,0.9999,0.0884,0.1518,-0.3167,26.5259,B3,E2,5
3.8945,1.9978,0.9999,0.1216,0.1826,-0.3167,26.3236,B3,E2,5
4.1054,2.208,1,0.0205,0.2147,-0.3167,26.1152,B3,E2,5
4.3378,1.5885,1,0.0512,0.2467,-0.3167,25.885,B3,E2,5
4.5298,1.7769,1,0.0147,0.2745,-0.3167,25.6951,B3,E2,5
4.7275,1.4388,1,0.023,0.3041,-0.3167,25.4996,B3,E2,5
5.0029,1.4949,1,0.0468,0.3493,-0.3167,25.228,B3,E2,5
5.194,1.668,1,0.0735,0.3834,-0.3167,25.0399,B3,E2,5
5.3932,1.3877,0.9999,0.1655,0.4263,-0.3167,24.8453,B3,E2,5
5.5963,1.5537,0.9999,0.0916,0.473,-0.3167,24.6477,B3,E2,5
5.7993,1.2815,0.9998,0.1748,0.5275,-0.3167,24.4521,B3,E2,5
6.0928,1.2903,0.9998,0.1283,0.617,-0.3167,24.1727,B3,E2,5
6.2866,1.3903,0.9997,0.2331,0.6848,-0.3167,23.9911,B3,E2,5
6.5037,1.4655,0.9992,0.3612,0.778,-0.3167,23.795,B3,E2,5
6.8054,1.6767,0.9998,0.0136,0.9036,-0.3167,23.5206,B3,E2,5
7.0179,1.7107,0.9988,0.1751,1.0006,-0.3167,23.3319,B3,E2,5
7.256,1.9675,0.9609,0.201,1.0946,-0.3167,23.1258,B3,E2,5
7.4586,1.9462,0.9537,0.0473,1.1746,-0.3167,22.9503,B3,E2,5
7.6663,2.2767,0.9183,0.277,1.2425,-0.3167,22.774,B3,E2,5
7.9651,2.5171,0.9145,0.0628,1.3376,-0.3167,22.518,B3,E2,5
8.1767,2.4212,0.8952,0.2925,1.3894,-0.3167,22.3368,B3,E2,5
8.392,2.8953,0.893,0.3018,1.4285,-0.3167,22.1485,B3,E2,5
8.6039,2.7676,0.891,0.1212,1.4636,-0.3167,21.9631,B3,E2,5
8.813,3.3041,0.898,0.2237,1.488,-0.3167,21.7764,B3,E2,5
9.0463,3.1395,0.9022,0.0927,1.5117,-0.3167,21.567,B3,E2,5
9.2877,3.7812,0.9124,0.1442,1.5279,-0.3167,21.3467,B3,E2,5
9.4952,3.6175,0.9214,0.1125,1.538,-0.3167,21.1552,B3,E2,5
9.7123,4.0096,0.942,0.1685,1.5418,-0.3167,20.9496,B3,E2,5
10.0126,3.9689,0.9474,0.0379,1.5455,-0.3167,20.6648,B3,E2,5
10.2239,3.8681,0.962,0.1155,1.5435,-0.3167,20.4607,B3,E2,5
10.4502,3.986,0.9714,0.0755,1.5384,-0.3167,20.2404,B3,E2,5
10.6612,3.877,0.9763,0.0363,1.5328,-0.3167,20.0342,B3,E2,5
10.8663,3.9723,0.9821,0.0504,1.5254,-0.3167,19.8326,B3,E2,5
11.167,3.9062,0.9847,0.0132,1.5141,-0.3167,19.5365,B3,E2,5
11.4954,3.8689,0.9882,0.0192,1.4998,-0.3167,19.212,B3,E2,5
11.6259,3.798,0.9918,0.0438,1.4936,-0.3167,19.0826,B3,E2,5
11.9474,3.8353,0.9944,0.0143,1.4769,-0.3167,18.7632,B3,E2,5
12.0651,3.77,0.9943,0.0032,1.471,-0.3167,18.6463,B3,E2,5
12.2745,3.8634,0.997,0.0227,1.4594,-0.3167,18.4377,B3,E2,5
12.5362,3.8155,0.9957,0.0089,1.4458,-0.3167,18.1775,B3,E2,5
12.7243,3.7076,0.9979,0.0206,1.4352,-0.3167,17.99,B3,E2,5
12.9098,3.8226,0.9975,0.0042,1.425,-0.3167,17.8054,B3,E2,5
13.0986,3.7106,0.9987,0.0108,1.4142,-0.3167,17.6171,B3,E2,5
13.3,3.7807,0.9983,0.0033,1.4029,-0.3167,17.4163,B3,E2,5
13.6033,3.7015,0.9991,0.0046,1.3854,-0.3167,17.1137,B3,E2,5
13.786,3.5955,0.9989,0.0022,1.375,-0.3167,16.9315,B3,E2,5
13.9853,3.7225,0.9995,0.0055,1.3634,-0.3167,16.7326,B3,E2,5
