Time_s,Distance_m,Velocity_mps,Acceleration_mps2,PosX_m,PosY_m,PosZ_m,Method,Scenario,RunID
0,1.2858,0.5941,3.5446,-0.9953,-0.3167,29.6152,B3,E2,7
0.1835,1.4101,0.6673,0.433,-0.9196,-0.3167,29.5147,B3,E2,7
0.4381,1.4457,0.6421,0.1994,-0.832,-0.3167,29.3784,B3,E2,7
0.5581,1.5505,0.8517,1.7468,-0.7718,-0.3167,29.2881,B3,E2,7
0.7462,1.596,0.9242,0.4604,-0.6832,-0.3167,29.1346,B3,E2,7
1.0196,1.7949,0.9795,0.2091,-0.5404,-0.3167,28.9036,B3,E2,7
1.2026,1.9651,0.9956,0.2879,-0.4547,-0.3167,28.7419,B3,E2,7
1.4017,2.0129,0.999,0.1393,-0.3654,-0.3167,28.5639,B3,E2,7
1.5814,2.1708,0.9997,0.1681,-0.2898,-0.3167,28.4009,B3,E2,7
1.7539,1.4932,0.9998,0.1964,-0.2227,-0.3167,28.242,B3,E2,7
1.9391,1.6755,0.9999,0.161,-0.1556,-0.3167,28.0693,B3,E2,7
2.1106,1.434,0.9998,0.1872,-0.0988,-0.3167,27.9075,B3,E2,7
2.2972,1.62,0.9999,0.149,-0.0417,-0.3167,27.7298,B3,E2,7
2.4768,1.4429,0.9999,0.1112,0.0102,-0.3167,27.5579,B3,E2,7
2.6664,1.6322,0.9999,0.0949,0.0618,-0.3167,27.3755,B3,E2,7
2.8337,1.4241,1,0.0521,0.1063,-0.3167,27.2142,B3,E2,7
3.0271,1.613,1,0.0293,0.1569,-0.3167,27.0276,B3,E2,7
3.2112,1.4157,1,0.0156,0.2059,-0.3167,26.8501,B3,E2,7
3.3974,1.5818,1,0.0485,0.2573,-0.3167,26.6711,B3,E2,7
3.5729,1.3046,1,0.1044,0.3093,-0.3167,26.5035,B3,E2,7
3.7557,1.4235,0.9999,0.1629,0.3691,-0.3167,26.3307,B3,E2,7
3.9738,1.4239,0.9998,0.1931,0.4496,-0.3167,26.1281,B3,E2,7
4.2265,1.4679,0.9997,0.1936,0.5548,-0.3167,25.8983,B3,E2,7
4.4148,1.4663,0.9968,0.1921,0.6384,-0.3167,25.7304,B3,E2,7
4.6225,1.9835,0.9436,0.2849,0.7288,-0.3167,25.5595,B3,E2,7
4.8123,1.9139,0.9287,0.1329,0.8055,-0.3167,25.4017,B3,E2,7
