Time_s,Distance_m,Velocity_mps,Acceleration_mps2,PosX_m,PosY_m,PosZ_m,Status,MethodRaw,ScenarioRaw,Method,Scenario,RunID,Result
25139.33,17.198,0.4626,1.6563,-3.1263,-0.3167,29.5663,0,6,1,B2,E1,5,SUCCESS
25139.47,17.0706,0.8925,3.1243,-3.0634,-0.3167,29.4439,0,6,1,B2,E1,5,SUCCESS
25139.71,18.096,0.9785,0.3534,-2.9524,-0.3167,29.2274,0,6,1,B2,E1,5,SUCCESS
25139.92,17.9084,0.9957,0.0845,-2.8595,-0.3167,29.0464,0,6,1,B2,E1,5,SUCCESS
25140.12,19.0622,0.9991,0.017,-2.7671,-0.3167,28.8662,0,6,1,B2,E1,5,SUCCESS
25140.28,18.9102,0.9998,0.0042,-2.6914,-0.3167,28.7188,0,6,1,B2,E1,5,SUCCESS
25140.54,19.4876,1,0.0005,-2.5759,-0.3167,28.4936,0,6,1,B2,E1,5,SUCCESS
25140.79,19.6614,1,0.0001,-2.4608,-0.3167,28.2693,0,6,1,B2,E1,5,SUCCESS
25141.01,19.4626,1,0,-2.3609,-0.3167,28.0747,0,6,1,B2,E1,5,SUCCESS
25141.23,20.0668,1,0,-2.2582,-0.3167,27.8744,0,6,1,B2,E1,5,SUCCESS
25141.46,19.8621,1,0,-2.1544,-0.3167,27.6721,0,6,1,B2,E1,5,SUCCESS
25141.57,20.6691,1,0,-2.1029,-0.3167,27.5717,0,6,1,B2,E1,5,SUCCESS
25141.83,20.7286,1,0,-1.9857,-0.3167,27.3434,0,6,1,B2,E1,5,SUCCESS
25142.04,20.5452,1,0,-1.8915,-0.3167,27.1597,0,6,1,B2,E1,5,SUCCESS
25142.26,21.6,0.9999,0.0982,-1.794,-0.3167,26.956,0,6,1,B2,E1,5,SUCCESS
25142.51,21.3716,0.9998,0.1689,-1.6969,-0.3167,26.7258,0,6,1,B2,E1,5,SUCCESS
25142.63,22.6839,0.9997,0.3878,-1.6546,-0.3167,26.6099,0,6,1,B2,E1,5,SUCCESS
25142.86,22.8409,0.9996,0.2171,-1.588,-0.3167,26.3952,0,6,1,B2,E1,5,SUCCESS
25143.09,23.2909,0.9998,0.1138,-1.5232,-0.3167,26.1696,0,6,1,B2,E1,5,SUCCESS
25143.32,23.7689,0.9943,0.9529,-1.5188,-0.3167,25.9467,0,6,1,B2,E1,5,SUCCESS
25143.52,24.2284,0.9986,0.2159,-1.5151,-0.3167,25.7449,0,6,1,B2,E1,5,SUCCESS
25143.64,24.7024,0.9997,0.0699,-1.5128,-0.3167,25.6202,0,6,1,B2,E1,5,SUCCESS
25143.86,24.8553,0.9999,0.008,-1.5088,-0.3167,25.4031,0,6,1,B2,E1,5,SUCCESS
25144.03,25.3343,1,0.0021,-1.5057,-0.3167,25.2373,0,6,1,B2,E1,5,SUCCESS
25144.3,25.5564,1,0.0003,-1.5007,-0.3167,24.9669,0,6,1,B2,E1,5,SUCCESS
25144.48,26.1756,1,0.0001,-1.4973,-0.3167,24.7824,0,6,1,B2,E1,5,SUCCESS
25144.63,26.5722,1,0,-1.4945,-0.3167,24.6305,0,6,1,B2,E1,5,SUCCESS
25144.88,26.7786,1,0,-1.4899,-0.3167,24.3853,0,6,1,B2,E1,5,SUCCESS
25145.06,27.3252,1,0,-1.4866,-0.3167,24.2024,0,6,1,B2,E1,5,SUCCESS
25145.3,27.6275,1,0,-1.4821,-0.3167,23.9603,0,6,1,B2,E1,5,SUCCESS
25145.49,28.1621,1,0,-1.4786,-0.3167,23.7742,0,6,1,B2,E1,5,SUCCESS
25145.69,28.5178,1,0,-1.475,-0.3167,23.5756,0,6,1,B2,E1,5,SUCCESS
25145.97,28.8293,1,0,-1.4698,-0.3167,23.2955,0,6,1,B2,E1,5,SUCCESS
25146.07,29.5585,1,0.0001,-1.4678,-0.3167,23.1898,0,6,1,B2,E1,5,SUCCESS
25146.31,29.6333,1,0,-1.4634,-0.3167,22.9495,0,6,1,B2,E1,5,SUCCESS
25146.57,30.0989,1,0,-1.4588,-0.3167,22.6989,0,6,1,B2,E1,5,SUCCESS
25146.78,30.6365,1,0,-1.4549,-0.3167,22.489,0,6,1,B2,E1,5,SUCCESS
25147,31.038,1,0,-1.4507,-0.3167,22.2642,0,6,1,B2,E1,5,SUCCESS
25147.22,31.4848,1,0,-1.4466,-0.3167,22.0404,0,6,1,B2,E1,5,SUCCESS
25147.47,31.9087,1,0,-1.4421,-0.3167,21.7962,0,6,1,B2,E1,5,SUCCESS
25147.74,31.6396,1,0,-1.4371,-0.3167,21.5272,0,6,1,B2,E1,5,SUCCESS
25147.99,30.581,1,0,-1.4324,-0.3167,21.2756,0,6,1,B2,E1,5,SUCCESS
25148.12,29.6933,1,0,-1.43,-0.3167,21.1427,0,6,1,B2,E1,5,SUCCESS
25148.35,29.0709,1,0,-1.4259,-0.3167,20.9192,0,6,1,B2,E1,5,SUCCESS
25148.58,28.1618,1,0,-1.4214,-0.3167,20.6806,0,6,1,B2,E1,5,SUCCESS
25148.82,27.2059,1,0,-1.417,-0.3167,20.4404,0,6,1,B2,E1,5,SUCCESS
25149.06,26.8502,1,0,-1.4127,-0.3167,20.2059,0,6,1,B2,E1,5,SUCCESS
25149.27,26.6299,1,0,-1.4087,-0.3167,19.992,0,6,1,B2,E1,5,SUCCESS
25149.52,26.3646,1,0,-1.4042,-0.3167,19.7487,0,6,1,B2,E1,5,SUCCESS
25149.75,26.0373,1,0,-1.3999,-0.3167,19.5162,0,6,1,B2,E1,5,SUCCESS
25149.95,25.5842,1,0,-1.3962,-0.3167,19.3137,0,6,1,B2,E1,5,SUCCESS
25150.07,24.9874,1,0,-1.3939,-0.3167,19.1898,0,6,1,B2,E1,5,SUCCESS
25150.34,24.3552,1,0,-1.3889,-0.3167,18.9213,0,6,1,B2,E1,5,SUCCESS
25150.54,23.3525,1,0,-1.3852,-0.3167,18.7208,0,6,1,B2,E1,5,SUCCESS
