Tiempo_s,Distancia_m,Velocidad_mps,Aceleracion_mps2,PosX_m,PosY_m,PosZ_m,Metodo,Escenario,RunID
0,2.8815,1.9856,11.4293,-1.0726,-0.3167,29.2788,M1,E3,10
0.12,2.8448,1.1971,6.5701,-1.0717,-0.3167,29.1588,M1,E3,10
0.2598,2.7904,1.0394,1.128,-1.0706,-0.3167,29.019,M1,E3,10
0.396,2.753,1.0079,0.2315,-1.0695,-0.3167,28.8828,M1,E3,10
0.5266,2.7188,1.0016,0.0483,-1.0685,-0.3167,28.7522,M1,E3,10
0.6576,2.6802,1.0003,0.0096,-1.0675,-0.3167,28.6212,M1,E3,10
0.8101,2.6212,1.0001,0.0017,-1.0663,-0.3167,28.4688,M1,E3,10
0.9312,2.6071,1,0.0005,-1.0653,-0.3167,28.3477,M1,E3,10
1.0714,2.5533,1,0,-1.0642,-0.3167,28.2074,M1,E3,10
1.195,2.5287,1,0,-1.0633,-0.3167,28.0839,M1,E3,10
1.3334,2.4783,1,0,-1.0622,-0.3167,27.9455,M1,E3,10
1.4499,2.4593,1,0,-1.0613,-0.3167,27.829,M1,E3,10
1.5874,2.4051,1,0,-1.0602,-0.3167,27.6914,M1,E3,10
1.7185,2.3715,1,0,-1.0592,-0.3167,27.5604,M1,E3,10
1.8681,2.3156,1,0,-1.058,-0.3167,27.4108,M1,E3,10
1.9834,2.3054,1,0,-1.0571,-0.3167,27.2955,M1,E3,10
2.1346,2.2374,1,0,-1.0559,-0.3167,27.1442,M1,E3,10
2.2722,2.2069,1,0,-1.0548,-0.3167,27.0067,M1,E3,10
2.4697,2.1097,1,0,-1.0533,-0.3167,26.8092,M1,E3,10
2.6021,2.1152,1,0,-1.0523,-0.3167,26.6768,M1,E3,10
2.7351,2.0766,1,0,-1.0512,-0.3167,26.5438,M1,E3,10
2.8538,2.0521,1,0.0001,-1.0503,-0.3167,26.4251,M1,E3,10
2.9907,2.0006,1,0,-1.0492,-0.3167,26.2882,M1,E3,10
3.1021,1.9857,1,0.0001,-1.0484,-0.3167,26.1768,M1,E3,10
3.238,1.9305,1,0,-1.0473,-0.3167,26.0409,M1,E3,10
3.3558,1.9088,1,0,-1.0464,-0.3167,25.9231,M1,E3,10
3.4882,1.8614,1,0.0001,-1.0453,-0.3167,25.7907,M1,E3,10
3.6103,1.8334,1,0,-1.0444,-0.3167,25.6686,M1,E3,10
3.737,1.7943,1,0,-1.0434,-0.3167,25.5419,M1,E3,10
3.8628,1.7592,1,0,-1.0424,-0.3167,25.4161,M1,E3,10
3.989,1.7231,1,0,-1.0414,-0.3167,25.2899,M1,E3,10
4.1067,1.6954,1,0,-1.0405,-0.3167,25.1722,M1,E3,10
4.2421,1.6456,1,0,-1.0394,-0.3167,25.0368,M1,E3,10
4.3613,1.6226,1,0,-1.0385,-0.3167,24.9176,M1,E3,10
4.5095,1.562,1,0,-1.0373,-0.3167,24.7694,M1,E3,10
4.6246,1.5514,1,0,-1.0364,-0.3167,24.6544,M1,E3,10
4.7776,1.4839,1,0,-1.0352,-0.3167,24.5014,M1,E3,10
4.9008,1.4689,1,0,-1.0343,-0.3167,24.3781,M1,E3,10
5.0438,1.4164,1,0,-1.0332,-0.3167,24.2352,M1,E3,10
5.1803,1.3827,1,0,-1.0321,-0.3167,24.0986,M1,E3,10
5.3153,1.3465,1,0,-1.031,-0.3167,23.9637,M1,E3,10
5.4466,1.3127,1,0,-1.03,-0.3167,23.8323,M1,E3,10
5.6089,1.2486,1,0,-1.0287,-0.3167,23.6701,M1,E3,10
5.744,1.2291,1,0,-1.0277,-0.3167,23.535,M1,E3,10
5.8523,1.2697,0.5677,3.9901,-1.0273,-0.3167,23.4852,M1,E3,10
5.9945,1.3354,0.1346,3.0463,-1.0273,-0.3167,23.4814,M1,E3,10
6.1287,1.427,0.0269,0.8023,-1.0273,-0.3167,23.4814,M1,E3,10
6.2546,1.4514,0.435,3.2413,-1.0267,-0.3167,23.4138,M1,E3,10
6.3841,1.4131,0.887,3.4925,-1.0257,-0.3167,23.2844,M1,E3,10
6.5241,1.3676,0.9774,0.6457,-1.0246,-0.3167,23.1444,M1,E3,10
6.651,1.341,0.9955,0.1424,-1.0236,-0.3167,23.0175,M1,E3,10
6.7833,1.3012,0.9991,0.0273,-1.0226,-0.3167,22.8851,M1,E3,10
6.9238,1.2576,0.9998,0.0052,-1.0215,-0.3167,22.7447,M1,E3,10
7.0472,1.2979,0.5505,3.6421,-1.0211,-0.3167,22.6906,M1,E3,10
7.1831,1.377,0.1101,3.2402,-1.0211,-0.3167,22.6906,M1,E3,10
7.3026,1.4648,0.022,0.7368,-1.0211,-0.3167,22.6906,M1,E3,10
7.4205,1.4902,0.387,3.0958,-1.0206,-0.3167,22.6343,M1,E3,10
7.542,1.4596,0.8372,3.7057,-1.0197,-0.3167,22.5189,M1,E3,10
7.7113,1.3818,0.9674,0.7695,-1.0184,-0.3167,22.3496,M1,E3,10
7.8566,1.3571,0.9935,0.1792,-1.0173,-0.3167,22.2044,M1,E3,10
8.0022,1.3168,0.9987,0.0358,-1.0161,-0.3167,22.0587,M1,E3,10
8.147,1.2776,0.9997,0.0072,-1.015,-0.3167,21.9139,M1,E3,10
8.2795,1.2493,0.9999,0.0016,-1.014,-0.3167,21.7814,M1,E3,10
8.4191,1.2739,0.576,3.0368,-1.0134,-0.3167,21.7158,M1,E3,10
8.5551,1.3633,0.1152,3.3881,-1.0134,-0.3167,21.7158,M1,E3,10
8.7024,1.4511,0.023,0.6257,-1.0134,-0.3167,21.7158,M1,E3,10
8.8415,1.4707,0.4759,3.2564,-1.0128,-0.3167,21.6339,M1,E3,10
8.9709,1.441,0.8952,3.24,-1.0118,-0.3167,21.5045,M1,E3,10
9.1008,1.4047,0.979,0.6455,-1.0108,-0.3167,21.3746,M1,E3,10
9.2257,1.3733,0.9958,0.1342,-1.0098,-0.3167,21.2497,M1,E3,10
9.3717,1.3196,0.9992,0.0229,-1.0087,-0.3167,21.1037,M1,E3,10
9.5027,1.2933,0.9998,0.0051,-1.0076,-0.3167,20.9727,M1,E3,10
9.6469,1.2454,1,0.0009,-1.0065,-0.3167,20.8285,M1,E3,10
9.7855,1.2838,0.5385,3.3281,-1.006,-0.3167,20.7698,M1,E3,10
9.9178,1.3727,0.1077,3.256,-1.006,-0.3167,20.7698,M1,E3,10
10.0388,1.4582,0.0215,0.7124,-1.006,-0.3167,20.7698,M1,E3,10
10.1924,1.4678,0.3913,2.4064,-1.0055,-0.3167,20.6955,M1,E3,10
10.3422,1.4287,0.8783,3.252,-1.0043,-0.3167,20.5458,M1,E3,10
10.4962,1.3833,0.9757,0.6323,-1.0031,-0.3167,20.3918,M1,E3,10
10.6411,1.3492,0.9951,0.1344,-1.0019,-0.3167,20.2469,M1,E3,10
10.7851,1.3102,0.999,0.0271,-1.0008,-0.3167,20.1029,M1,E3,10
10.9244,1.275,0.9998,0.0056,-0.9997,-0.3167,19.9636,M1,E3,10
11.0748,1.3032,0.5542,2.9631,-0.9992,-0.3167,19.897,M1,E3,10
11.2151,1.3998,0.1108,3.1594,-0.9992,-0.3167,19.897,M1,E3,10
11.3746,1.4908,0.0222,0.5557,-0.9992,-0.3167,19.897,M1,E3,10
11.5147,1.5115,0.515,3.5192,-0.9985,-0.3167,19.8077,M1,E3,10
11.6683,1.4598,0.903,2.5256,-0.9973,-0.3167,19.654,M1,E3,10
11.8121,1.4262,0.9806,0.5396,-0.9962,-0.3167,19.5102,M1,E3,10
11.9731,1.3706,0.9961,0.0964,-0.9949,-0.3167,19.3493,M1,E3,10
12.1147,1.344,0.9992,0.0219,-0.9938,-0.3167,19.2077,M1,E3,10
12.2556,1.3057,0.9998,0.0044,-0.9927,-0.3167,19.0667,M1,E3,10
12.3953,1.2682,1,0.0009,-0.9916,-0.3167,18.927,M1,E3,10
12.5303,1.3031,0.5529,3.3123,-0.9912,-0.3167,18.8675,M1,E3,10
12.6724,1.3898,0.1106,3.1129,-0.9912,-0.3167,18.8675,M1,E3,10
12.8066,1.4819,0.0221,0.659,-0.9912,-0.3167,18.8675,M1,E3,10
12.9767,1.4843,0.434,2.4224,-0.9904,-0.3167,18.7762,M1,E3,10
13.1194,1.4623,0.8868,3.1722,-0.9893,-0.3167,18.6335,M1,E3,10
13.2946,1.3927,0.9774,0.5168,-0.988,-0.3167,18.4582,M1,E3,10
13.4518,1.3609,0.9955,0.1152,-0.9867,-0.3167,18.3011,M1,E3,10
13.5796,1.3445,0.9991,0.0284,-0.9857,-0.3167,18.1733,M1,E3,10
