Timestamp,Method,Scenario,RunID,Result,TotalTime_s,PathLength_m,MinDistance_m,MeanDistance_m,MedianDistance_m,MeanVelocity_mps,MaxVelocity_mps,MaxAcceleration_mps2,MaxJerk_mps3,SocialTime_s,PersonalTime_s,IntimateTime_s,StopTime_s,NumberOfStops
2026-09-09 20:34:35,M0,E1,1,SUCCESS,96.4892,93.1924066277664,0.5305,13.0194361702128,10.6978,0.961809219858156,1,5.0748,19.4784017278623,20.7214,3.07090000000002,0,0,1
2026-09-09 20:36:19,M0,E1,2,SUCCESS,96.315,93.0608353874354,0.5998,13.2854677804296,10.9325,0.962299761336515,1,6.9356,29.2937062937042,19.0791,3.39880000000005,0,0,1
2026-09-09 20:38:02,M0,E1,3,SUCCESS,96.6604,93.2656311932549,0.564,12.7513863746959,11.1265,0.960688321167883,1,6.8847,31.4270946681191,17.6991999999999,2.91249999999999,0,0,1
2026-09-09 20:39:45,M0,E1,4,SUCCESS,96.6544,92.9505171599191,0.5024,12.7329836538462,10.35865,0.959561538461538,1,4.5347,28.2634271099744,21.0495,3.37119999999999,0,0,1
2026-09-09 20:41:29,M0,E1,5,SUCCESS,96.9224,92.967257226681,0.5304,12.9008569739953,9.8035,0.956336170212766,1,4.9127,27.4855491329451,20.3784,2.71009999999995,0,0,1
2026-09-09 20:43:12,M0,E1,6,SUCCESS,96.1750999999999,93.0158565728133,0.5464,13.339595990566,12.1775,0.963260141509434,1,7.0107,27.369255150546,19.5076999999999,3.38920000000007,0,0,1
2026-09-09 20:44:56,M0,E1,7,SUCCESS,97.1924,92.8996989465395,0.7318,13.0316182242991,9.9802,0.954864018691589,1,8.4622,51.8500000000156,22.0866000000001,3.02479999999991,0,0,1
2026-09-09 20:46:40,M0,E1,8,SUCCESS,96.6738,93.0089593008387,0.5956,12.0283098795181,10.2628,0.95829734939759,1,3.8956,19.8237317282848,20.1192,3.42389999999989,0,0,1
2026-09-09 20:48:24,M0,E1,9,SUCCESS,96.7582,92.9818497864858,0.5909,13.1279030588235,11.2565,0.956448705882353,1,7.4913,34.8761429758812,19.8505000000001,3.65160000000003,0,0,1
2026-09-09 20:50:07,M0,E1,10,SUCCESS,96.2605000000001,92.8154312376532,0.4298,12.8994940758294,10.2769,0.961640284360189,1,7.8089,41.8684654300116,19.9485,3.12040000000002,0.25,0,1
2026-09-09 20:51:53,M0,E2,1,SUCCESS,96.2629999999999,93.1002778079513,0.3867,3.92134228028504,3.8073,0.963963420427553,1,6.7658,31.6508771929734,41.8460000000002,10.5629999999999,0.548000000000002,0,1
2026-09-09 20:53:37,M0,E2,2,SUCCESS,96.4370000000001,92.8883190513392,0.3981,4.36773105022831,3.83,0.96209497716895,1,5.6296,30.6793388430089,38.3069999999998,5.4989999999998,0.394999999999982,0,1
2026-09-09 20:55:19,M0,E2,3,SUCCESS,96.0360000000001,93.0860707852986,0.3788,4.11774243792325,3.8209,0.964894356659142,1,5.7507,30.8871794871896,40.0819999999999,11.413,0.440000000000055,0,1
2026-09-09 20:57:01,M0,E2,4,SUCCESS,96.046,93.0338741583468,0.3844,4.58848290993072,3.8669,0.966143418013857,1,7.2876,34.9544,36.913,5.04499999999985,0.482999999999947,0,1
2026-09-09 20:58:45,M0,E2,5,SUCCESS,96.0739999999998,92.6686276491629,0.3912,4.02990684931507,3.8256,0.962731506849315,1,6.9046,30.3827338129723,39.6209999999999,11.2980000000002,0.65300000000002,0,1
2026-09-09 21:00:28,M0,E2,6,SUCCESS,96.8120000000001,93.0167105531108,0.3832,4.61603810623557,3.9161,0.959606697459584,1,8.8416,56.2622641509463,36.6490000000001,5.72699999999986,0.408999999999878,0,1
2026-09-09 21:02:12,M0,E2,7,SUCCESS,96.5169999999998,93.1164844731863,0.372,4.04397945823928,3.8284,0.960172009029345,1,4.5823,27.8678260869543,40.8259999999998,10.0709999999997,0.397999999999911,0,1
2026-09-09 21:03:54,M0,E2,8,SUCCESS,95.952,92.9640329541474,0.3827,4.47143449074074,3.852,0.966790046296296,1,4.3141,23.0698275862098,37.518,5.19700000000012,0.41800000000012,0,1
2026-09-09 21:05:38,M0,E2,9,SUCCESS,96.0120000000002,92.6343756396964,0.4088,4.26500854503464,3.8258,0.962926327944573,1,4.4348,26.1461538461116,38.7910000000008,7.78199999999993,0.466000000000122,0,1
2026-09-09 21:07:20,M0,E2,10,SUCCESS,96.057,92.7344691512417,0.4001,4.52018165137615,3.8395,0.965115596330275,1,8.2895,49.4444444444606,38.3839999999996,5.65499999999975,0.544000000000096,0,1
2026-09-09 21:09:03,M0,E3,1,SUCCESS,96.0250000000001,93.1479264836626,0.3778,5.8157688221709,5.3285,0.967374826789838,1,7.1037,30.5985507246554,38.8500000000004,16.1839999999997,0.427999999999884,0,1
2026-09-09 21:10:46,M0,E3,2,SUCCESS,95.895,92.840345079548,0.4105,6.09449627039627,5.6641,0.966721445221445,1,4.7959,23.4191304347345,33.2020000000002,5.40999999999985,0.45699999999988,0,1
2026-09-09 21:12:30,M0,E3,3,SUCCESS,97.748,92.9893308936626,0.3816,6.0676375,5.84095,0.950283333333333,1,5.0482,29.5216374269314,34.8809999999994,6.625,0.528999999999996,0,1
2026-09-09 21:14:13,M0,E3,4,SUCCESS,96.0129999999999,93.0549272446989,0.3756,5.51187888631091,4.9595,0.967597911832947,1,9.1153,59.0649122806848,39.951,17.3909999999996,0.462000000000444,0,1
2026-09-09 21:15:55,M0,E3,5,SUCCESS,95.5159999999996,92.8118324708642,0.3793,6.21342286374134,5.9075,0.970270669745958,1,8.022,44.5864661653245,35.547,12.6809999999996,0.597000000000207,0,1
2026-09-09 21:17:38,M0,E3,6,SUCCESS,95.7280000000001,92.8063524900371,0.3922,5.81624334862385,5.355,0.967732110091743,1,7.3884,34.582733813032,39.1640000000002,17.0879999999997,0.416999999999916,0,1
2026-09-09 21:19:21,M0,E3,7,SUCCESS,95.7180000000003,92.8951198141874,0.3763,6.07090352941177,5.7562,0.967104705882353,1,6.186,21.876595744669,33.7239999999993,5.04899999999952,0.319999999999709,0,1
2026-09-09 21:21:03,M0,E3,8,SUCCESS,95.8110000000001,92.673757769233,0.3948,6.07773581395349,5.84185,0.963995813953488,1,8.0109,42.3468253969098,37.2220000000002,17.5210000000002,0.449000000000069,0,1
2026-09-09 21:22:46,M0,E3,9,SUCCESS,96.4609999999998,93.0036835336731,0.3913,5.52906743648961,4.9372,0.962311547344111,1,4.8875,32.8827272726892,40.5179999999991,18.4899999999998,0.47400000000016,0,1
2026-09-09 21:24:30,M0,E3,10,SUCCESS,96.6489999999999,92.7909474197039,0.381,5.62199407744875,4.9288,0.958170387243736,1,4.1282,22.7984848484742,39.7140000000009,16.7540000000004,0.424999999999727,0,1
2026-09-09 21:26:12,M0,E4,1,SUCCESS,96.0010000000002,92.8823425553042,0.3905,1.95507762237762,1.5024,0.963934265734266,1,4.2294,20.2775862068991,82.364,37.732,0.65099999999984,0,1
2026-09-09 21:27:55,M0,E4,2,SUCCESS,95.7729999999997,92.858389964606,0.3886,1.9630119047619,1.51785,0.966394761904762,1,9.184,60.78090909109,81.9779999999996,36.3070000000002,0.460000000000036,0,1
2026-09-09 21:29:38,M0,E4,3,SUCCESS,96.1869999999999,93.1447567514346,0.3914,1.96188417266187,1.5821,0.965402877697842,1,4.8333,31.8971153846723,88.4409999999998,32.0039999999995,0.454000000000178,0,1
2026-09-09 21:31:21,M0,E4,4,SUCCESS,96.665,92.96760036142,0.3807,2.14142795180723,1.6523,0.959790361445783,1,8.7598,56.1203539823858,80.6389999999997,33.0789999999997,0.471000000000004,0,1
2026-09-09 21:33:04,M0,E4,5,SUCCESS,96.2470000000003,92.916178188678,0.378,1.99346258823529,1.5345,0.961048470588235,1,9.4122,63.3027522936224,81.6900000000001,37.6190000000006,0.557999999999993,0,1
2026-09-09 21:34:47,M0,E4,6,SUCCESS,96.1599999999999,92.9672276455732,0.3857,2.09238360277136,1.563,0.962633949191686,1,7.0443,28.0858333332524,80.5810000000001,32.7589999999996,0.538000000000011,0,1
2026-09-09 21:36:30,M0,E4,7,SUCCESS,95.7260000000001,92.8582026966239,0.3781,1.98182137767221,1.526,0.966280760095012,1,7.2415,32.9957142857443,81.9309999999996,36.6269999999995,0.41800000000012,0,1
2026-09-09 21:38:14,M0,E4,8,SUCCESS,96.634,93.0396521208141,0.3724,2.34560476190476,1.70195,0.960550714285714,1,7.1859,34.8736111111649,77.3439999999996,25.0079999999998,0.706000000000131,0,1
2026-09-09 21:39:56,M0,E4,9,SUCCESS,96.125,93.056091488933,0.3842,2.14474131455399,1.5819,0.966167136150235,1,7.7599,45.4663551401993,80.902,32.7510000000002,0.468000000000302,0,1
2026-09-09 21:41:38,M0,E4,10,SUCCESS,95.7079999999996,92.9147913651371,0.3796,1.95573412322275,1.511,0.968035308056872,1,6.9002,36.017272727231,82.2029999999995,37.5389999999998,0.454000000000178,0,1
2026-09-09 21:43:21,M1,E1,1,SUCCESS,96.0129999999999,93.135344575977,0.6289,12.5007020594966,10.054,0.966583981693364,1,9.0755,58.3551724138004,22.6270000000013,3.13800000000174,0,0,1
2026-09-09 21:45:04,M1,E1,2,SUCCESS,95.7780000000002,92.7526512231177,0.4958,12.9860659624413,10.22395,0.966734741784037,1,8.8545,55.00500000005,21.6289999999981,3.90700000000015,0,0,1
2026-09-09 21:46:46,M1,E1,3,SUCCESS,95.723,92.9349599572923,0.5827,12.8706990654206,10.47505,0.969067289719626,1,8.3416,49.8956140348743,22.9759999999978,3.3769999999995,0,0,1
2026-09-09 21:48:29,M1,E1,4,SUCCESS,95.9440000000004,92.8880815697583,0.6219,12.9235630232558,9.54675,0.965800465116279,1,4.7794,30.9747747748093,21.0029999999988,3.97799999999916,0,0,1
2026-09-09 21:50:12,M1,E1,5,SUCCESS,96.0039999999999,93.0919074155935,0.7685,13.3389230588235,11.1198,0.966645647058824,1,5.1217,29.2713114753383,23.9449999999979,1.63699999999972,0,0,1
2026-09-09 21:51:55,M1,E1,6,SUCCESS,95.8239999999996,92.9869921015739,0.6346,13.0528764845606,9.4388,0.966746318289786,1,6.9774,29.0242990654285,19.9859999999999,2.72299999999996,0,0,1
2026-09-09 21:53:37,M1,E1,7,SUCCESS,95.3069999999998,92.674790599978,0.5583,12.7848139908257,10.26035,0.969895642201835,1,5.18,24.5312500000572,19.9669999999996,3.22400000000016,0,0,1
2026-09-09 21:55:19,M1,E1,8,SUCCESS,95.7489999999998,92.7942512112791,0.6411,13.0136009478673,10.13485,0.964825829383886,1,7.2751,36.6581967212218,18.6440000000002,3.28300000000036,0,0,1
2026-09-09 21:57:01,M1,E1,9,SUCCESS,95.9800000000005,92.9062666184011,0.6095,13.1070630232558,10.2229,0.966182325581395,1,8.351,49.7858407078396,20.7350000000015,3.16899999999896,0,0,1
2026-09-09 21:58:45,M1,E1,10,SUCCESS,95.9390000000003,93.0926230351125,0.6623,13.1428770301624,10.0865,0.968902784222738,1,5.3978,33.910280373841,19.6979999999994,3.77799999999934,0,0,1
2026-09-09 22:00:27,M1,E2,1,SUCCESS,96.1099999999997,93.0178056545061,0.5196,4.76099006928407,3.8789,0.966001385681293,1,6.5201,24.9666666666263,35.3279999999986,8.01299999999992,0,0,1
2026-09-09 22:02:10,M1,E2,2,SUCCESS,96.1030000000001,92.9143917180884,0.5294,4.59623449074074,3.9382,0.966095138888889,1,8.2958,50.160169491745,35.6180000000004,12.916000000002,0,0,1
2026-09-09 22:03:53,M1,E2,3,SUCCESS,95.9230000000007,92.7205538058993,0.539,5.16151720183486,4.13815,0.963277064220184,1,8.3126,44.1745454543117,31.4189999999999,7.4930000000013,0,0,1
2026-09-09 22:05:35,M1,E2,4,SUCCESS,95.9889999999996,92.9138763069239,0.5296,5.20655647058823,4.1266,0.965499058823529,1,4.1691,21.6528925619665,31.2430000000004,7.54700000000048,0,0,1
2026-09-09 22:07:18,M1,E2,5,SUCCESS,95.9740000000002,92.8499537630138,0.5366,5.18185529411765,4.1593,0.965819294117647,1,6.9199,30.5521428572699,30.8400000000001,7.15999999999985,0,0,1
2026-09-09 22:09:00,M1,E2,6,SUCCESS,95.2529999999997,92.754923825739,0.5324,5.21090278422274,4.0548,0.970298839907193,1,7.2844,33.6237037036493,30.9039999999995,6.78500000000076,0,0,1
2026-09-09 22:10:43,M1,E2,7,SUCCESS,96.4440000000004,92.7255458574811,0.5285,4.84395164319249,3.98905,0.959638262910798,1,6.3043,24.3249999999607,34.4660000000013,7.56600000000071,0,0,1
2026-09-09 22:12:25,M1,E2,8,SUCCESS,95.6459999999997,92.7983996929517,0.5331,5.00704023255814,4.01195,0.965724186046512,1,8.4016,48.4126050421441,32.9869999999992,6.61599999999999,0,0,1
