Tiempo_s,Distancia_m,Velocidad_mps,Aceleracion_mps2,PosX_m,PosY_m,PosZ_m,Metodo,Escenario,RunID
0,0.9025,2.6954,22.3914,-1.0728,-0.3167,29.3044,M0,E3,5
0.1731,0.8969,1.3391,7.8376,-1.0715,-0.3167,29.1314,M0,E3,5
0.3425,0.8946,1.0678,1.6013,-1.0701,-0.3167,28.962,M0,E3,5
0.519,0.8925,1.0136,0.3074,-1.0688,-0.3167,28.7855,M0,E3,5
0.6666,0.8887,1.0027,0.0735,-1.0676,-0.3167,28.6378,M0,E3,5
0.8394,0.8903,1.0005,0.0126,-1.0663,-0.3167,28.465,M0,E3,5
0.9643,0.8848,1.0001,0.0035,-1.0653,-0.3167,28.3402,M0,E3,5
1.0937,0.8854,1,0.0006,-1.0643,-0.3167,28.2108,M0,E3,5
1.2223,0.8859,1,0.0001,-1.0633,-0.3167,28.0821,M0,E3,5
1.3854,0.8934,1,0.0001,-1.062,-0.3167,27.9191,M0,E3,5
1.519,0.8905,1,0,-1.0609,-0.3167,27.7854,M0,E3,5
1.6693,0.8969,1,0,-1.0598,-0.3167,27.6352,M0,E3,5
1.8008,0.8965,1,0,-1.0587,-0.3167,27.5037,M0,E3,5
1.9297,0.8997,1,0.0001,-1.0577,-0.3167,27.3747,M0,E3,5
2.0633,0.9053,1,0,-1.0567,-0.3167,27.2412,M0,E3,5
2.183,0.9064,1,0,-1.0557,-0.3167,27.1215,M0,E3,5
2.34,0.923,1,0,-1.0545,-0.3167,26.9645,M0,E3,5
2.4576,0.9248,1,0,-1.0536,-0.3167,26.8469,M0,E3,5
2.5814,0.9256,1,0,-1.0526,-0.3167,26.7232,M0,E3,5
2.7272,0.9404,1,0,-1.0515,-0.3167,26.5773,M0,E3,5
2.8402,0.9367,1,0,-1.0506,-0.3167,26.4643,M0,E3,5
2.9929,0.9594,1,0,-1.0494,-0.3167,26.3116,M0,E3,5
3.1434,0.9691,1,0,-1.0482,-0.3167,26.1611,M0,E3,5
3.2693,0.9694,1,0,-1.0472,-0.3167,26.0352,M0,E3,5
3.4185,0.9894,1,0,-1.0461,-0.3167,25.8861,M0,E3,5
