Tiempo_s,Distancia_m,Velocidad_mps,Aceleracion_mps2,PosX_m,PosY_m,PosZ_m,Metodo,Escenario,RunID
0,1.662,2.067,10.9521,-1.0722,-0.3167,29.2224,M2,E3,9
0.1607,1.6168,1.2134,5.3135,-1.0709,-0.3167,29.0617,M2,E3,9
0.3138,1.5738,1.0427,1.1151,-1.0697,-0.3167,28.9086,M2,E3,9
0.4787,1.5277,1.0085,0.2071,-1.0684,-0.3167,28.7437,M2,E3,9
0.6259,1.4866,1.0017,0.0463,-1.0673,-0.3167,28.5965,M2,E3,9
0.7674,1.4473,1.0003,0.0097,-1.0662,-0.3167,28.455,M2,E3,9
0.9201,1.405,1.0001,0.0018,-1.065,-0.3167,28.3023,M2,E3,9
1.0648,1.3651,1,0.0004,-1.0639,-0.3167,28.1576,M2,E3,9
1.2135,1.3242,1,0.0001,-1.0627,-0.3167,28.0089,M2,E3,9
1.3566,1.285,1,0,-1.0616,-0.3167,27.8658,M2,E3,9
1.4886,1.249,1,0,-1.0605,-0.3167,27.7338,M2,E3,9
1.6483,1.2822,0.5776,2.6448,-1.0599,-0.3167,27.6584,M2,E3,9
1.7891,1.3724,0.1155,3.2826,-1.0599,-0.3167,27.6584,M2,E3,9
1.9305,1.4637,0.0231,0.6536,-1.0599,-0.3167,27.6584,M2,E3,9
2.062,1.5494,0.0046,0.1405,-1.0599,-0.3167,27.6584,M2,E3,9
2.1935,1.6355,0.0009,0.0281,-1.0599,-0.3167,27.6584,M2,E3,9
2.351,1.7392,0.0002,0.0047,-1.0599,-0.3167,27.6584,M2,E3,9
2.4743,1.8208,0,0.0012,-1.0599,-0.3167,27.6584,M2,E3,9
2.6276,1.9228,0,0.0002,-1.0599,-0.3167,27.6584,M2,E3,9
2.7622,2.0126,0,0,-1.0599,-0.3167,27.6584,M2,E3,9
2.9009,2.1056,0,0,-1.0599,-0.3167,27.6584,M2,E3,9
3.0209,2.1861,0,0,-1.0599,-0.3167,27.6584,M2,E3,9
3.1651,2.2833,0,0,-1.0599,-0.3167,27.6584,M2,E3,9
3.2883,2.3665,0,0,-1.0599,-0.3167,27.6584,M2,E3,9
3.4385,2.4682,0,0,-1.0599,-0.3167,27.6584,M2,E3,9
3.5639,2.5532,0,0,-1.0599,-0.3167,27.6584,M2,E3,9
3.7023,2.6472,0,0,-1.0599,-0.3167,27.6584,M2,E3,9
3.8289,2.7334,0,0,-1.0599,-0.3167,27.6584,M2,E3,9
3.9763,2.8339,0,0,-1.0599,-0.3167,27.6584,M2,E3,9
4.1182,2.9307,0,0,-1.0599,-0.3167,27.6584,M2,E3,9
4.2514,3.0218,0,0,-1.0599,-0.3167,27.6584,M2,E3,9
4.3954,3.1204,0,0,-1.0599,-0.3167,27.6584,M2,E3,9
4.5343,3.2156,0,0,-1.0599,-0.3167,27.6584,M2,E3,9
4.687,3.3203,0,0,-1.0599,-0.3167,27.6584,M2,E3,9
4.8331,3.4207,0,0,-1.0599,-0.3167,27.6584,M2,E3,9
4.9628,3.5098,0,0,-1.0599,-0.3167,27.6584,M2,E3,9
5.0946,3.6005,0,0,-1.0599,-0.3167,27.6584,M2,E3,9
5.2243,3.6898,0,0,-1.0599,-0.3167,27.6584,M2,E3,9
5.373,3.7923,0,0,-1.0599,-0.3167,27.6584,M2,E3,9
5.5033,3.8058,0.4761,3.655,-1.0593,-0.3167,27.5809,M2,E3,9
5.6478,3.7631,0.8952,2.9009,-1.0582,-0.3167,27.4364,M2,E3,9
5.7758,3.7253,0.979,0.6548,-1.0572,-0.3167,27.3084,M2,E3,9
5.9105,3.6856,0.9958,0.1244,-1.0562,-0.3167,27.1737,M2,E3,9
6.0396,3.6475,0.9992,0.026,-1.0551,-0.3167,27.0446,M2,E3,9
6.1857,3.6044,0.9998,0.0046,-1.054,-0.3167,26.8985,M2,E3,9
6.3189,3.5651,1,0.001,-1.053,-0.3167,26.7653,M2,E3,9
6.4615,3.5231,1,0.0002,-1.0518,-0.3167,26.6228,M2,E3,9
6.6148,3.478,1,0,-1.0506,-0.3167,26.4695,M2,E3,9
6.7791,3.4296,1,0,-1.0494,-0.3167,26.3051,M2,E3,9
6.9049,3.3925,1,0,-1.0484,-0.3167,26.1793,M2,E3,9
7.0407,3.3526,1,0,-1.0473,-0.3167,26.0436,M2,E3,9
7.1777,3.3123,1,0,-1.0462,-0.3167,25.9066,M2,E3,9
7.3374,3.2654,1,0,-1.045,-0.3167,25.7468,M2,E3,9
