Time_s,Distance_m,Velocity_mps,Acceleration_mps2,PosX_m,PosY_m,PosZ_m,Status,MethodRaw,ScenarioRaw,Method,Scenario,RunID,Result
25742.72,2.7962,0.3804,1.1411,-3.1277,-0.3167,29.569,0,6,2,B2,E2,1,SUCCESS
25742.87,2.7678,0.8761,3.4134,-3.0614,-0.3167,29.4398,0,6,2,B2,E2,1,SUCCESS
25743.1,2.7379,0.9752,0.4303,-2.9562,-0.3167,29.2348,0,6,2,B2,E2,1,SUCCESS
25743.33,2.7272,0.995,0.0862,-2.8512,-0.3167,29.0302,0,6,2,B2,E2,1,SUCCESS
25743.56,2.7358,0.999,0.0173,-2.7463,-0.3167,28.8258,0,6,2,B2,E2,1,SUCCESS
25743.77,2.7608,0.9998,0.0037,-2.6496,-0.3167,28.6373,0,6,2,B2,E2,1,SUCCESS
25744,2.8054,1,0.0007,-2.5454,-0.3167,28.4341,0,6,2,B2,E2,1,SUCCESS
25744.23,2.868,1,0.0001,-2.4405,-0.3167,28.2298,0,6,2,B2,E2,1,SUCCESS
25744.4,2.927,1,0,-2.3605,-0.3167,28.0739,0,6,2,B2,E2,1,SUCCESS
25744.6,3.0063,1,0,-2.2682,-0.3167,27.894,0,6,2,B2,E2,1,SUCCESS
25744.77,3.0819,1,0,-2.1904,-0.3167,27.7423,0,6,2,B2,E2,1,SUCCESS
25744.91,3.1479,1,0,-2.128,-0.3167,27.6208,0,6,2,B2,E2,1,SUCCESS
25745.16,3.2795,1,0,-2.0142,-0.3167,27.399,0,6,2,B2,E2,1,SUCCESS
25745.37,3.3362,1,0,-1.9188,-0.3167,27.2131,0,6,2,B2,E2,1,SUCCESS
25745.54,3.506,1,0.0614,-1.8401,-0.3167,27.0544,0,6,2,B2,E2,1,SUCCESS
25745.77,3.2863,0.9998,0.1828,-1.7519,-0.3167,26.8529,0,6,2,B2,E2,1,SUCCESS
25745.97,3.4336,0.9998,0.1896,-1.6754,-0.3167,26.6575,0,6,2,B2,E2,1,SUCCESS
25746.16,3.2466,0.9997,0.2317,-1.6147,-0.3167,26.4797,0,6,2,B2,E2,1,SUCCESS
25746.39,3.4199,0.9997,0.1708,-1.5485,-0.3167,26.2581,0,6,2,B2,E2,1,SUCCESS
25746.64,3.1894,0.9937,0.8974,-1.5434,-0.3167,26.0096,0,6,2,B2,E2,1,SUCCESS
25746.87,3.3769,0.9985,0.2038,-1.5392,-0.3167,25.7855,0,6,2,B2,E2,1,SUCCESS
25746.99,3.2648,0.9997,0.0757,-1.5369,-0.3167,25.6647,0,6,2,B2,E2,1,SUCCESS
25747.16,3.5566,0.9999,0.0109,-1.5337,-0.3167,25.4969,0,6,2,B2,E2,1,SUCCESS
25747.37,3.3583,1,0.0017,-1.5297,-0.3167,25.2847,0,6,2,B2,E2,1,SUCCESS
25747.58,3.4427,1,0.0004,-1.5257,-0.3167,25.0749,0,6,2,B2,E2,1,SUCCESS
25747.8,3.2383,1,0.0001,-1.5215,-0.3167,24.8549,0,6,2,B2,E2,1,SUCCESS
25747.95,3.5021,1,0,-1.5186,-0.3167,24.7043,0,6,2,B2,E2,1,SUCCESS
25748.18,3.2891,1,0,-1.5143,-0.3167,24.4756,0,6,2,B2,E2,1,SUCCESS
25748.35,3.4808,1,0,-1.5109,-0.3167,24.2985,0,6,2,B2,E2,1,SUCCESS
25748.58,3.267,1,0,-1.5065,-0.3167,24.0687,0,6,2,B2,E2,1,SUCCESS
25748.8,3.4523,1,0,-1.5024,-0.3167,23.8541,0,6,2,B2,E2,1,SUCCESS
25749.06,3.4236,1,0,-1.4974,-0.3167,23.5878,0,6,2,B2,E2,1,SUCCESS
25749.19,3.3064,1,0,-1.495,-0.3167,23.4619,0,6,2,B2,E2,1,SUCCESS
25749.4,3.5528,1,0,-1.4911,-0.3167,23.2561,0,6,2,B2,E2,1,SUCCESS
25749.62,3.348,1,0,-1.4869,-0.3167,23.0372,0,6,2,B2,E2,1,SUCCESS
25749.85,3.4722,1,0,-1.4825,-0.3167,22.8063,0,6,2,B2,E2,1,SUCCESS
25750.03,3.2977,1,0,-1.479,-0.3167,22.6194,0,6,2,B2,E2,1,SUCCESS
25750.18,3.5908,1,0,-1.4761,-0.3167,22.4702,0,6,2,B2,E2,1,SUCCESS
25750.38,3.4011,1,0,-1.4723,-0.3167,22.2682,0,6,2,B2,E2,1,SUCCESS
25750.59,3.5394,1,0,-1.4685,-0.3167,22.0678,0,6,2,B2,E2,1,SUCCESS
25750.81,3.3292,1,0,-1.4642,-0.3167,21.8436,0,6,2,B2,E2,1,SUCCESS
25751.09,3.4572,1,0,-1.4589,-0.3167,21.5623,0,6,2,B2,E2,1,SUCCESS
25751.22,3.3342,1,0,-1.4564,-0.3167,21.431,0,6,2,B2,E2,1,SUCCESS
25751.45,3.5875,1,0,-1.4521,-0.3167,21.2057,0,6,2,B2,E2,1,SUCCESS
25751.65,3.4,1,0,-1.4483,-0.3167,21.0065,0,6,2,B2,E2,1,SUCCESS
25751.88,3.5613,1,0,-1.4438,-0.3167,20.7699,0,6,2,B2,E2,1,SUCCESS
25752.13,3.328,1,0,-1.4391,-0.3167,20.5218,0,6,2,B2,E2,1,SUCCESS
25752.37,3.5365,1,0,-1.4345,-0.3167,20.2824,0,6,2,B2,E2,1,SUCCESS
25752.56,3.3597,1,0,-1.4309,-0.3167,20.0946,0,6,2,B2,E2,1,SUCCESS
25752.79,3.6277,1,0,-1.4265,-0.3167,19.8581,0,6,2,B2,E2,1,SUCCESS
25753.02,3.4188,1,0,-1.4222,-0.3167,19.637,0,6,2,B2,E2,1,SUCCESS
25753.34,3.5491,1,0,-1.4162,-0.3167,19.317,0,6,2,B2,E2,1,SUCCESS
25753.46,3.4359,1,0,-1.4139,-0.3167,19.1972,0,6,2,B2,E2,1,SUCCESS
25753.7,3.6552,1,0,-1.4092,-0.3167,18.95,0,6,2,B2,E2,1,SUCCESS
25753.94,3.4303,1,0,-1.4047,-0.3167,18.7125,0,6,2,B2,E2,1,SUCCESS
25754.15,3.7199,1,0,-1.4006,-0.3167,18.5003,0,6,2,B2,E2,1,SUCCESS
25754.38,3.5013,1,0,-1.3963,-0.3167,18.2703,0,6,2,B2,E2,1,SUCCESS
25754.62,3.7658,1,0,-1.3918,-0.3167,18.0386,0,6,2,B2,E2,1,SUCCESS
