Time_s,Distance_m,Velocity_mps,Acceleration_mps2,PosX_m,PosY_m,PosZ_m,Status,MethodRaw,ScenarioRaw,Method,Scenario,RunID,Result
34400.06,3.5929,0.1851,1.6,-3.1989,-0.3167,29.7367,0,8,2,B4,E2,6,SUCCESS
34400.36,3.8125,0.7058,1.7625,-3.0986,-0.3167,29.971,0,8,2,B4,E2,6,SUCCESS
34400.48,3.8379,0.9396,2.2119,-3.0381,-0.3167,30.0709,0,8,2,B4,E2,6,SUCCESS
34400.71,4.4941,0.981,1.0274,-2.8678,-0.3167,30.2287,0,8,2,B4,E2,6,SUCCESS
34400.93,4.4729,0.9881,1.1538,-2.6734,-0.3167,30.3308,0,8,2,B4,E2,6,SUCCESS
34401.15,4.8633,0.9893,1.1772,-2.4596,-0.3167,30.3788,0,8,2,B4,E2,6,SUCCESS
34401.4,4.9503,0.9894,1.034,-2.2088,-0.3167,30.3681,0,8,2,B4,E2,6,SUCCESS
34401.61,4.8293,0.9928,0.9583,-2.0043,-0.3167,30.3199,0,8,2,B4,E2,6,SUCCESS
34401.82,5.1385,0.9942,0.911,-1.8175,-0.3167,30.2374,0,8,2,B4,E2,6,SUCCESS
34402.03,4.9766,0.9955,0.7708,-1.639,-0.3167,30.1217,0,8,2,B4,E2,6,SUCCESS
34402.14,5.2906,0.9978,0.8823,-1.5483,-0.3167,30.0512,0,8,2,B4,E2,6,SUCCESS
34402.37,5.0968,0.9975,0.5682,-1.3903,-0.3167,29.8894,0,8,2,B4,E2,6,SUCCESS
34402.68,5.1411,0.9958,0.5625,-1.2205,-0.3167,29.6366,0,8,2,B4,E2,6,SUCCESS
34402.8,5.0262,0.9984,0.6379,-1.158,-0.3167,29.5313,0,8,2,B4,E2,6,SUCCESS
34403.06,5.2366,0.9981,0.4181,-1.0507,-0.3167,29.2888,0,8,2,B4,E2,6,SUCCESS
34403.29,5.0115,0.9989,0.336,-0.9724,-0.3167,29.0727,0,8,2,B4,E2,6,SUCCESS
34403.52,5.2369,0.9992,0.3074,-0.9095,-0.3167,28.8534,0,8,2,B4,E2,6,SUCCESS
34403.72,5.0377,0.9996,0.1897,-0.8599,-0.3167,28.6588,0,8,2,B4,E2,6,SUCCESS
34403.94,5.2859,0.9998,0.1554,-0.8136,-0.3167,28.4486,0,8,2,B4,E2,6,SUCCESS
34404.14,5.0885,0.9998,0.1537,-0.7768,-0.3167,28.254,0,8,2,B4,E2,6,SUCCESS
34404.33,5.3175,0.9999,0.1515,-0.7463,-0.3167,28.0629,0,8,2,B4,E2,6,SUCCESS
34404.54,5.1041,0.9998,0.1474,-0.7194,-0.3167,27.8511,0,8,2,B4,E2,6,SUCCESS
34404.67,5.3742,0.9999,0.1687,-0.7057,-0.3167,27.7227,0,8,2,B4,E2,6,SUCCESS
34404.93,5.3381,0.9998,0.1372,-0.6882,-0.3167,27.4696,0,8,2,B4,E2,6,SUCCESS
34405.12,5.1465,1,0.0363,-0.6751,-0.3167,27.2785,0,8,2,B4,E2,6,SUCCESS
34405.26,5.3957,1,0.0098,-0.6653,-0.3167,27.1366,0,8,2,B4,E2,6,SUCCESS
34405.45,5.2084,1,0.0015,-0.6525,-0.3167,26.9496,0,8,2,B4,E2,6,SUCCESS
34405.68,5.3239,1,0.0002,-0.6367,-0.3167,26.7204,0,8,2,B4,E2,6,SUCCESS
34405.87,5.1299,1,0.0001,-0.6234,-0.3167,26.5267,0,8,2,B4,E2,6,SUCCESS
34406.02,5.4149,1,0,-0.6135,-0.3167,26.3827,0,8,2,B4,E2,6,SUCCESS
34406.13,5.2952,1,0,-0.6052,-0.3167,26.2633,0,8,2,B4,E2,6,SUCCESS
34406.3,5.4819,1,0,-0.5941,-0.3167,26.1017,0,8,2,B4,E2,6,SUCCESS
34406.5,5.2791,1,0,-0.5802,-0.3167,25.8995,0,8,2,B4,E2,6,SUCCESS
34406.61,5.4601,1,0,-0.5728,-0.3167,25.7917,0,8,2,B4,E2,6,SUCCESS
34406.85,5.2149,1,0,-0.556,-0.3167,25.5471,0,8,2,B4,E2,6,SUCCESS
34407,5.3891,1,0,-0.546,-0.3167,25.4021,0,8,2,B4,E2,6,SUCCESS
34407.21,5.1713,1,0,-0.531,-0.3167,25.1848,0,8,2,B4,E2,6,SUCCESS
34407.4,5.3873,1,0,-0.5182,-0.3167,24.9981,0,8,2,B4,E2,6,SUCCESS
34407.6,5.1914,1,0,-0.5047,-0.3167,24.8026,0,8,2,B4,E2,6,SUCCESS
34407.78,5.4322,1,0,-0.4925,-0.3167,24.6251,0,8,2,B4,E2,6,SUCCESS
34407.96,5.2529,1,0,-0.4802,-0.3167,24.4461,0,8,2,B4,E2,6,SUCCESS
34408.2,5.4029,1,0,-0.4638,-0.3167,24.2083,0,8,2,B4,E2,6,SUCCESS
34408.41,5.1859,1,0,-0.4489,-0.3167,23.9917,0,8,2,B4,E2,6,SUCCESS
34408.64,5.3877,1,0,-0.4329,-0.3167,23.758,0,8,2,B4,E2,6,SUCCESS
34408.78,5.2522,1,0,-0.4236,-0.3167,23.6229,0,8,2,B4,E2,6,SUCCESS
34409,5.5046,1,0,-0.4084,-0.3167,23.4023,0,8,2,B4,E2,6,SUCCESS
