Tiempo_s,Distancia_m,Velocidad_mps,Aceleracion_mps2,PosX_m,PosY_m,PosZ_m,Metodo,Escenario,RunID
0,1.5102,0.5201,4.0175,-1.0753,-0.3167,29.6262,M1,E2,4
0.1454,1.5098,0.904,2.641,-1.0742,-0.3167,29.4808,M1,E2,4
0.2761,1.5342,0.9808,0.5874,-1.0732,-0.3167,29.3501,M1,E2,4
0.4347,1.5249,0.9962,0.0968,-1.0719,-0.3167,29.1915,M1,E2,4
0.5744,1.5541,0.9992,0.022,-1.0708,-0.3167,29.0518,M1,E2,4
0.7103,1.5703,0.9998,0.0045,-1.0698,-0.3167,28.9159,M1,E2,4
0.8438,1.585,1,0.0009,-1.0687,-0.3167,28.7824,M1,E2,4
0.98,1.5958,1,0.0002,-1.0677,-0.3167,28.6463,M1,E2,4
1.1026,1.6198,1,0,-1.0667,-0.3167,28.5237,M1,E2,4
1.2254,1.6317,1,0,-1.0658,-0.3167,28.4008,M1,E2,4
1.3428,1.6483,1,0,-1.0648,-0.3167,28.2835,M1,E2,4
1.5005,1.6275,1,0,-1.0636,-0.3167,28.1258,M1,E2,4
1.6427,1.6558,1,0,-1.0625,-0.3167,27.9835,M1,E2,4
1.7598,1.6907,1,0.0001,-1.0616,-0.3167,27.8664,M1,E2,4
1.8665,1.7113,1,0,-1.0607,-0.3167,27.7597,M1,E2,4
1.9927,1.7063,1,0,-1.0598,-0.3167,27.6335,M1,E2,4
2.1328,1.7079,1,0,-1.0587,-0.3167,27.4935,M1,E2,4
2.2504,1.7412,1,0,-1.0577,-0.3167,27.3759,M1,E2,4
2.3889,1.7361,1,0,-1.0567,-0.3167,27.2374,M1,E2,4
2.5138,1.7622,1,0,-1.0557,-0.3167,27.1125,M1,E2,4
2.6577,1.7596,1,0,-1.0545,-0.3167,26.9686,M1,E2,4
2.7768,1.7959,1,0,-1.0536,-0.3167,26.8495,M1,E2,4
2.8995,1.8058,1,0,-1.0527,-0.3167,26.7268,M1,E2,4
3.0122,1.8275,1,0.0001,-1.0518,-0.3167,26.614,M1,E2,4
3.1556,1.8139,1,0,-1.0507,-0.3167,26.4707,M1,E2,4
3.2815,1.8445,1,0,-1.0497,-0.3167,26.3448,M1,E2,4
