Tiempo_s,Distancia_m,Velocidad_mps,Aceleracion_mps2,PosX_m,PosY_m,PosZ_m,Metodo,Escenario,RunID
0,1.4192,0.4258,2.2231,-1.0752,-0.3167,29.6086,M1,E2,2
0.1628,1.4933,0.8852,2.8213,-1.0739,-0.3167,29.4458,M1,E2,2
0.2857,1.4628,0.977,0.7475,-1.073,-0.3167,29.323,M1,E2,2
0.4198,1.4519,0.9954,0.1371,-1.0719,-0.3167,29.1888,M1,E2,2
0.5582,1.446,0.9991,0.0265,-1.0708,-0.3167,29.0505,M1,E2,2
0.6929,1.4458,0.9998,0.0054,-1.0698,-0.3167,28.9157,M1,E2,2
0.8306,1.4409,1,0.0011,-1.0687,-0.3167,28.7781,M1,E2,2
0.9666,1.4394,1,0.0002,-1.0676,-0.3167,28.6421,M1,E2,2
1.0994,1.4391,1,0.0001,-1.0666,-0.3167,28.5093,M1,E2,2
1.2452,1.4265,1,0,-1.0655,-0.3167,28.3635,M1,E2,2
1.3757,1.4353,1,0,-1.0644,-0.3167,28.233,M1,E2,2
1.5205,1.4218,1,0,-1.0633,-0.3167,28.0882,M1,E2,2
1.6461,1.4335,1,0,-1.0623,-0.3167,27.9625,M1,E2,2
1.7942,1.4139,1,0,-1.0612,-0.3167,27.8145,M1,E2,2
1.9215,1.4268,1,0,-1.0602,-0.3167,27.6872,M1,E2,2
2.0683,1.4095,1,0,-1.059,-0.3167,27.5404,M1,E2,2
2.1895,1.4261,1,0,-1.0581,-0.3167,27.4192,M1,E2,2
2.346,1.3968,1,0.0001,-1.0568,-0.3167,27.2627,M1,E2,2
2.4682,1.4199,1,0.0001,-1.0559,-0.3167,27.1405,M1,E2,2
2.6071,1.4047,1,0,-1.0548,-0.3167,27.0016,M1,E2,2
2.7344,1.411,1,0.0001,-1.0538,-0.3167,26.8743,M1,E2,2
2.8669,1.4045,1,0.0001,-1.0528,-0.3167,26.7418,M1,E2,2
3.0143,1.3905,1,0.0001,-1.0516,-0.3167,26.5944,M1,E2,2
3.1184,1.4212,1,0.0001,-1.0508,-0.3167,26.4904,M1,E2,2
3.2271,1.4156,1,0,-1.05,-0.3167,26.3816,M1,E2,2
3.3524,1.4007,1,0.0001,-1.049,-0.3167,26.2563,M1,E2,2
3.4998,1.3813,1,0,-1.0478,-0.3167,26.1089,M1,E2,2
3.6228,1.3974,1,0.0001,-1.0469,-0.3167,25.986,M1,E2,2
3.761,1.3832,1,0.0001,-1.0458,-0.3167,25.8478,M1,E2,2
3.8873,1.3898,1,0,-1.0448,-0.3167,25.7215,M1,E2,2
4.026,1.3778,1,0.0001,-1.0437,-0.3167,25.5827,M1,E2,2
4.1443,1.3912,1,0,-1.0428,-0.3167,25.4645,M1,E2,2
4.2807,1.3748,1,0,-1.0417,-0.3167,25.328,M1,E2,2
4.4024,1.3839,1,0,-1.0408,-0.3167,25.2064,M1,E2,2
4.5474,1.3634,1,0,-1.0396,-0.3167,25.0614,M1,E2,2
4.6726,1.3762,1,0,-1.0386,-0.3167,24.9362,M1,E2,2
4.8046,1.3685,1,0,-1.0376,-0.3167,24.8041,M1,E2,2
4.9532,1.3532,1,0,-1.0364,-0.3167,24.6556,M1,E2,2
5.0879,1.3614,1,0,-1.0354,-0.3167,24.5209,M1,E2,2
5.2268,1.3548,1,0,-1.0343,-0.3167,24.382,M1,E2,2
5.3846,1.336,1,0,-1.0331,-0.3167,24.2242,M1,E2,2
5.5351,1.3363,1,0,-1.0319,-0.3167,24.0737,M1,E2,2
5.6605,1.3252,1,0,-1.0309,-0.3167,23.9483,M1,E2,2
5.7842,1.2824,1,0,-1.0299,-0.3167,23.8246,M1,E2,2
5.922,1.2283,1,0,-1.0289,-0.3167,23.6869,M1,E2,2
6.073,1.2359,0.5592,2.918,-1.0283,-0.3167,23.619,M1,E2,2
6.2208,1.3066,0.1118,3.0269,-1.0283,-0.3167,23.619,M1,E2,2
6.3396,1.3809,0.0224,0.7533,-1.0283,-0.3167,23.619,M1,E2,2
6.4806,1.4446,0.0045,0.1269,-1.0283,-0.3167,23.619,M1,E2,2
6.6203,1.4548,0.4523,3.2059,-1.0277,-0.3167,23.5402,M1,E2,2
6.7565,1.4174,0.8905,3.2185,-1.0267,-0.3167,23.4041,M1,E2,2
6.8858,1.3861,0.9781,0.6778,-1.0256,-0.3167,23.2748,M1,E2,2
7.037,1.3341,0.9956,0.1159,-1.0245,-0.3167,23.1235,M1,E2,2
7.1716,1.3123,0.9991,0.026,-1.0234,-0.3167,22.989,M1,E2,2
7.3365,1.2575,0.9998,0.0043,-1.0221,-0.3167,22.824,M1,E2,2
7.4716,1.2513,1,0.0011,-1.0211,-0.3167,22.6889,M1,E2,2
7.6157,1.2909,0.5676,3.0016,-1.0205,-0.3167,22.6228,M1,E2,2
7.7508,1.4002,0.1135,3.3601,-1.0205,-0.3167,22.6228,M1,E2,2
7.9143,1.509,0.0227,0.5557,-1.0205,-0.3167,22.6228,M1,E2,2
8.0441,1.5672,0.5276,3.8886,-1.0199,-0.3167,22.5379,M1,E2,2
8.1954,1.541,0.9055,2.4977,-1.0187,-0.3167,22.3866,M1,E2,2
8.3351,1.5453,0.9811,0.5411,-1.0176,-0.3167,22.2469,M1,E2,2
8.4655,1.5479,0.9962,0.1159,-1.0166,-0.3167,22.1165,M1,E2,2
8.5984,1.5401,0.9992,0.0228,-1.0155,-0.3167,21.9836,M1,E2,2
8.7273,1.5386,0.9999,0.0047,-1.0145,-0.3167,21.8547,M1,E2,2
8.8813,1.5107,1,0.0008,-1.0133,-0.3167,21.7007,M1,E2,2
9.0013,1.5376,1,0.0001,-1.0124,-0.3167,21.5807,M1,E2,2
9.1472,1.5103,1,0,-1.0112,-0.3167,21.4348,M1,E2,2
9.2877,1.5121,1,0,-1.0101,-0.3167,21.2943,M1,E2,2
9.4218,1.5154,1,0,-1.0091,-0.3167,21.1602,M1,E2,2
9.5681,1.5021,1,0,-1.008,-0.3167,21.0139,M1,E2,2
9.7099,1.5047,1,0,-1.0068,-0.3167,20.8721,M1,E2,2
9.8683,1.4881,1,0,-1.0056,-0.3167,20.7137,M1,E2,2
10.0325,1.4821,1,0,-1.0043,-0.3167,20.5496,M1,E2,2
10.1633,1.5127,1,0,-1.0033,-0.3167,20.4188,M1,E2,2
10.3077,1.5,1,0,-1.0022,-0.3167,20.2743,M1,E2,2
