Time_s,Distance_m,Velocity_mps,Acceleration_mps2,PosX_m,PosY_m,PosZ_m,Status,MethodRaw,ScenarioRaw,Method,Scenario,RunID,Result
9760.209,3.5671,0.4297,1.4899,-3.1293,-0.3167,29.5722,0,2,2,M2,E2,6,SUCCESS
9760.332,3.4879,0.8791,4.0963,-3.1229,-0.3167,29.4487,0,2,2,M2,E2,6,SUCCESS
9760.579,3.8454,0.9757,0.4126,-3.1104,-0.3167,29.2028,0,2,2,M2,E2,6,SUCCESS
9760.755,3.7205,0.9951,0.1155,-3.1015,-0.3167,29.0271,0,2,2,M2,E2,6,SUCCESS
9760.98,3.9414,0.999,0.018,-3.0901,-0.3167,28.8019,0,2,2,M2,E2,6,SUCCESS
9761.193,3.7868,0.9998,0.0038,-3.0793,-0.3167,28.5889,0,2,2,M2,E2,6,SUCCESS
9761.364,3.9449,1,0.0009,-3.0706,-0.3167,28.418,0,2,2,M2,E2,6,SUCCESS
9761.525,3.8272,1,0.0002,-3.0625,-0.3167,28.2574,0,2,2,M2,E2,6,SUCCESS
9761.701,3.9732,1,0,-3.0536,-0.3167,28.082,0,2,2,M2,E2,6,SUCCESS
9761.92,3.8116,1,0,-3.0425,-0.3167,27.8631,0,2,2,M2,E2,6,SUCCESS
9762.093,3.927,1,0,-3.0337,-0.3167,27.6909,0,2,2,M2,E2,6,SUCCESS
9762.276,3.7916,1,0,-3.0244,-0.3167,27.5068,0,2,2,M2,E2,6,SUCCESS
9762.552,3.8703,1,0,-3.0105,-0.3167,27.2327,0,2,2,M2,E2,6,SUCCESS
9762.671,3.7824,1,0,-3.0044,-0.3167,27.1129,0,2,2,M2,E2,6,SUCCESS
9762.926,3.8969,1,0,-2.9916,-0.3167,26.859,0,2,2,M2,E2,6,SUCCESS
9763.134,3.7439,1,0,-2.981,-0.3167,26.6514,0,2,2,M2,E2,6,SUCCESS
9763.291,3.9242,1,0,-2.973,-0.3167,26.4938,0,2,2,M2,E2,6,SUCCESS
9763.525,3.7503,1,0,-2.9612,-0.3167,26.2599,0,2,2,M2,E2,6,SUCCESS
9763.726,3.8698,1,0,-2.951,-0.3167,26.06,0,2,2,M2,E2,6,SUCCESS
9763.953,3.7022,1,0,-2.9395,-0.3167,25.833,0,2,2,M2,E2,6,SUCCESS
9764.203,3.8318,1,0,-2.9269,-0.3167,25.5829,0,2,2,M2,E2,6,SUCCESS
9764.473,3.7974,1,0,-2.9132,-0.3167,25.3136,0,2,2,M2,E2,6,SUCCESS
9764.61,3.6957,1,0,-2.9062,-0.3167,25.1759,0,2,2,M2,E2,6,SUCCESS
9764.854,3.8933,1,0,-2.8939,-0.3167,24.9325,0,2,2,M2,E2,6,SUCCESS
9765.091,3.716,1,0,-2.8819,-0.3167,24.6969,0,2,2,M2,E2,6,SUCCESS
9765.313,3.8354,1,0,-2.8707,-0.3167,24.4749,0,2,2,M2,E2,6,SUCCESS
9765.563,3.8226,1,0,-2.858,-0.3167,24.2241,0,2,2,M2,E2,6,SUCCESS
9765.84,3.7821,1,0,-2.844,-0.3167,23.9485,0,2,2,M2,E2,6,SUCCESS
9766.104,3.7702,1,0,-2.8306,-0.3167,23.6838,0,2,2,M2,E2,6,SUCCESS
9766.315,3.6136,1,0,-2.8199,-0.3167,23.4732,0,2,2,M2,E2,6,SUCCESS
9766.556,3.8355,1,0,-2.8077,-0.3167,23.2333,0,2,2,M2,E2,6,SUCCESS
9766.68,3.7413,1,0,-2.8015,-0.3167,23.11,0,2,2,M2,E2,6,SUCCESS
9766.907,3.9137,1,0,-2.79,-0.3167,22.8826,0,2,2,M2,E2,6,SUCCESS
9767.176,3.8007,1,0,-2.7764,-0.3167,22.6144,0,2,2,M2,E2,6,SUCCESS
9767.416,3.6187,1,0,-2.7642,-0.3167,22.3742,0,2,2,M2,E2,6,SUCCESS
9767.582,3.8682,1,0,-2.7558,-0.3167,22.2088,0,2,2,M2,E2,6,SUCCESS
9767.817,3.6863,1,0,-2.7439,-0.3167,21.9736,0,2,2,M2,E2,6,SUCCESS
9768.025,3.8379,1,0,-2.7333,-0.3167,21.766,0,2,2,M2,E2,6,SUCCESS
