Time_s,Distance_m,Velocity_mps,Acceleration_mps2,PosX_m,PosY_m,PosZ_m,Status,MethodRaw,ScenarioRaw,Method,Scenario,RunID,Result
14159.63,3.5756,0.3912,1.2651,-3.131,-0.3167,29.5755,0,3,2,M3,E2,9,SUCCESS
14159.74,3.5016,0.872,4.6137,-3.125,-0.3167,29.4607,0,3,2,M3,E2,9,SUCCESS
14160.02,3.8589,0.9743,0.3907,-3.1112,-0.3167,29.189,0,3,2,M3,E2,9,SUCCESS
14160.23,3.7092,0.9949,0.1009,-3.1006,-0.3167,28.9786,0,3,2,M3,E2,9,SUCCESS
14160.43,3.9506,0.999,0.0206,-3.0901,-0.3167,28.7723,0,3,2,M3,E2,9,SUCCESS
14160.65,3.7958,0.9998,0.004,-3.0793,-0.3167,28.5595,0,3,2,M3,E2,9,SUCCESS
14160.85,3.9376,1,0.0008,-3.0687,-0.3167,28.351,0,3,2,M3,E2,9,SUCCESS
14161.11,3.9026,1,0.0001,-3.0559,-0.3167,28.0975,0,3,2,M3,E2,9,SUCCESS
14161.32,3.7496,1,0,-3.0452,-0.3167,27.8868,0,3,2,M3,E2,9,SUCCESS
14161.5,3.945,1,0,-3.0361,-0.3167,27.7076,0,3,2,M3,E2,9,SUCCESS
14161.61,3.8625,1,0,-3.0304,-0.3167,27.5968,0,3,2,M3,E2,9,SUCCESS
14161.9,3.9271,1,0,-3.0155,-0.3167,27.3025,0,3,2,M3,E2,9,SUCCESS
14162.02,3.838,1,0,-3.0094,-0.3167,27.1828,0,3,2,M3,E2,9,SUCCESS
14162.19,3.9644,1,0,-3.0008,-0.3167,27.0128,0,3,2,M3,E2,9,SUCCESS
14162.43,3.7881,1,0,-2.9888,-0.3167,26.7764,0,3,2,M3,E2,9,SUCCESS
14162.65,3.8792,1,0,-2.9777,-0.3167,26.558,0,3,2,M3,E2,9,SUCCESS
14162.85,3.7325,1,0,-2.9677,-0.3167,26.3591,0,3,2,M3,E2,9,SUCCESS
14163,3.9498,1,0,-2.9599,-0.3167,26.2067,0,3,2,M3,E2,9,SUCCESS
14163.24,3.7713,1,0,-2.9479,-0.3167,25.969,0,3,2,M3,E2,9,SUCCESS
14163.45,3.8741,1,0,-2.9372,-0.3167,25.7577,0,3,2,M3,E2,9,SUCCESS
14163.65,3.7297,1,0,-2.9273,-0.3167,25.5637,0,3,2,M3,E2,9,SUCCESS
